M,N,K,ms,tflops,ai,mem_bw_util
1,4096,14336,0.3402296034619212,0.17259008446797902,0.3333333333333333,6.472128167549214
8,4096,14336,0.3396874712780118,0.17286553365973673,0.3333333333333333,6.482457512240127
32,4096,14336,0.33963853493332863,0.17289044074909474,0.3333333333333333,6.483391528091052
128,4096,14336,0.33967428375035524,0.1728722449979659,0.3333333333333333,6.482709187423722
512,4096,14336,0.3397314716130495,0.1728431449732798,0.3333333333333333,6.481617936497991
2048,4096,14336,0.3396902419626713,0.1728641236814003,0.3333333333333333,6.482404638052511
