ts,cpu_pct,ram_used_GB,net_rx_MB,net_tx_MB,disk_read_MB,disk_write_MB,net_rx_rate_MBps,net_tx_rate_MBps,disk_r_rate_MBps,disk_w_rate_MBps
1776051057.872907,10.9,287.39903488,20709.917892,361.301933,12161259.682304,20707855.01184,,,,
1776051057.9610927,6.5,287.39885056,20709.917892,361.301933,12161259.682304,20707855.01184,0.0,0.0,0.0,0.0
1776051058.0480478,11.0,288.063873024,20709.917892,361.301933,12161259.682304,20707855.01184,0.0,0.0,0.0,0.0
1776051058.135425,16.0,288.176238592,20709.917892,361.301933,12161259.682304,20707855.01184,0.0,0.0,0.0,0.0
1776051058.2226455,14.7,287.374667776,20709.917892,361.301933,12161259.682304,20707855.01184,0.0,0.0,0.0,0.0
1776051058.309835,6.7,287.37366016,20709.918063,361.302038,12161259.682304,20707855.01184,0.00017099999968195334,0.00010499999996227416,0.0,0.0
1776051058.3972287,6.4,287.692242944,20709.918063,361.302038,12161259.682304,20707855.01184,0.0,0.0,0.0,0.0
1776051058.4840705,10.0,288.270114816,20709.918063,361.302038,12161259.682304,20707855.01184,0.0,0.0,0.0,0.0
1776051058.5710177,25.7,287.702315008,20709.918063,361.302038,12161259.682304,20707855.01184,0.0,0.0,0.0,0.0
1776051058.6578207,6.6,287.401414656,20709.918063,361.302038,12161259.682304,20707855.01184,0.0,0.0,0.0,0.0
1776051058.7445786,6.6,287.401414656,20709.918168,361.302143,12161259.682304,20707855.01184,0.0001049999991664663,0.00010500000001911758,0.0,0.0
1776051058.8315735,7.6,288.091746304,20709.918234,361.302143,12161259.682304,20707855.01184,6.600000051548705e-05,0.0,0.0,0.0
1776051058.9204242,19.5,288.33245184,20709.918234,361.302143,12161259.682304,20707855.01184,0.0,0.0,0.0,0.0
1776051059.007762,12.3,287.371608064,20709.918234,361.302143,12161259.682304,20707855.01184,0.0,0.0,0.0,0.0
1776051059.0947018,6.2,287.371042816,20709.918405,361.302248,12161259.682304,20707855.01184,0.00017099999968195334,0.00010500000001911758,0.0,0.0
1776051059.18146,6.5,287.693500416,20709.918405,361.302248,12161259.682304,20707855.01184,0.0,0.0,0.0,0.0
1776051059.268088,9.8,288.420814848,20709.918405,361.302248,12161259.682304,20707855.01184,0.0,0.0,0.0,0.0
1776051059.355085,23.5,287.527030784,20709.918405,361.302248,12161259.682304,20707855.015936,0.0,0.0,0.0,0.004095997661352158
1776051059.4419906,6.6,287.338545152,20709.918405,361.302366,12161259.682304,20707855.015936,0.0,0.00011799999998629573,0.0,0.0
1776051059.528789,6.4,287.338545152,20709.918499,361.302432,12161259.682304,20707855.015936,9.399999908055179e-05,6.600000000389628e-05,0.0,0.0
1776051059.6154819,6.5,288.090615808,20709.918499,361.302432,12161259.682304,20707855.015936,0.0,0.0,0.0,0.0
1776051059.702553,24.8,288.039026688,20709.918499,361.302432,12161259.682304,20707855.015936,0.0,0.0,0.0,0.0
1776051059.7896652,8.3,287.340429312,20709.918499,361.302432,12161259.682304,20707855.015936,0.0,0.0,0.0,0.0
1776051059.8764453,6.5,287.33966336,20709.918499,361.302432,12161259.682304,20707855.015936,0.0,0.0,0.0,0.0
1776051059.9629364,6.2,287.771676672,20709.918499,361.302432,12161259.682304,20707855.015936,0.0,0.0,0.0,0.0
1776051060.0497859,9.8,288.287064064,20709.918499,361.302432,12161259.682304,20707855.015936,0.0,0.0,0.0,0.0
1776051060.1367528,23.2,287.378509824,20709.918499,361.302432,12161259.682304,20707855.015936,0.0,0.0,0.0,0.0
1776051060.2250078,6.6,287.378010112,20709.918904,361.302537,12161259.682304,20707855.015936,0.00040499999886378646,0.00010499999996227416,0.0,0.0
1776051060.3118527,6.5,287.411126272,20709.91913,361.302855,12161259.682304,20707855.089664,0.00022600000011152588,0.00031800000004977846,0.0,0.07372800260782242
1776051060.3995667,8.9,288.265396224,20709.919629,361.303354,12161259.682304,20707855.089664,0.0004990000015823171,0.0004989999999907013,0.0,0.0
1776051060.4867492,23.0,287.786057728,20709.919695,361.303354,12161259.682304,20707855.089664,6.600000051548705e-05,0.0,0.0,0.0
1776051060.5736122,6.6,287.377235968,20709.920753,361.304508,12161259.682304,20707855.089664,0.0010579999980109278,0.0011539999999854444,0.0,0.0
1776051060.6603487,6.5,287.376949248,20709.921302,361.304809,12161259.682304,20707855.089664,0.0005490000003192108,0.0003009999999790125,0.0,0.0
1776051060.7471018,6.1,287.905431552,20709.921302,361.304809,12161259.682304,20707855.089664,0.0,0.0,0.0,0.0
1776051060.8337796,19.3,288.273457152,20709.921302,361.304809,12161259.682304,20707855.09376,0.0,0.0,0.0,0.004095997661352158
1776051060.9208443,15.1,287.35369216,20709.921302,361.304809,12161259.682304,20707855.09376,0.0,0.0,0.0,0.0
1776051061.0078444,6.5,287.352836096,20709.921783,361.305356,12161259.682304,20707855.09376,0.00048100000276463106,0.0005470000000400432,0.0,0.0
1776051061.0945382,6.1,287.633854464,20709.921849,361.305356,12161259.682304,20707855.09376,6.599999687750824e-05,0.0,0.0,0.0
1776051061.1918356,12.6,288.317558784,20709.921849,361.305356,12161259.682304,20707855.09376,0.0,0.0,0.0,0.0
1776051061.2791636,19.4,287.362953216,20709.921849,361.305356,12161259.682304,20707855.09376,0.0,0.0,0.0,0.0
1776051061.366213,6.5,287.362551808,20709.921849,361.305356,12161259.682304,20707855.09376,0.0,0.0,0.0,0.0
1776051061.452721,6.7,287.509352448,20709.921849,361.305356,12161259.682304,20707855.09376,0.0,0.0,0.0,0.0
1776051061.5393183,9.5,288.290525184,20709.922441,361.305714,12161259.682304,20707855.09376,0.0005920000003243331,0.0003580000000056316,0.0,0.0
1776051061.6264465,23.2,287.911022592,20709.922441,361.305714,12161259.682304,20707855.09376,0.0,0.0,0.0,0.0
1776051061.7135594,6.5,287.369158656,20709.923569,361.307218,12161259.682304,20707855.09376,0.0011279999998805579,0.0015039999999544307,0.0,0.0
1776051061.8007524,6.5,287.36923648,20709.923767,361.307218,12161259.682304,20707855.09376,0.00019800000154646114,0.0,0.0,0.0
1776051061.8875213,6.9,287.989198848,20709.923767,361.307218,12161259.682304,20707855.09376,0.0,0.0,0.0,0.0
1776051061.975299,20.9,288.17373184,20709.923767,361.307218,12161259.682304,20707855.09376,0.0,0.0,0.0,0.0
1776051062.062347,11.7,287.383048192,20709.923767,361.307218,12161259.682304,20707855.09376,0.0,0.0,0.0,0.0
1776051062.1503797,6.5,287.39731456,20709.924664,361.308415,12161259.682304,20707855.09376,0.0008969999980763532,0.0011970000000474101,0.0,0.0
1776051062.275865,7.3,288.024031232,20709.926472,361.311235,12161259.682304,20707855.09376,0.001808000000892207,0.002819999999985612,0.0,0.0
1776051062.3628662,21.0,288.029704192,20709.926538,361.311235,12161259.682304,20707855.118336,6.600000051548705e-05,0.0,0.0,0.02457600086927414
1776051062.4501102,12.1,287.36528384,20709.926538,361.311235,12161259.682304,20707855.118336,0.0,0.0,0.0,0.0
1776051062.537134,6.5,287.364386816,20709.926693,361.311548,12161259.682304,20707855.118336,0.00015500000154133886,0.00031300000000555883,0.0,0.0
1776051062.6238277,6.5,287.6621824,20709.926759,361.311548,12161259.682304,20707855.118336,6.600000051548705e-05,0.0,0.0,0.0
1776051062.7105846,9.6,288.456454144,20709.926759,361.311548,12161259.682304,20707855.118336,0.0,0.0,0.0,0.0
