ts,cpu_pct,ram_used_GB,net_rx_MB,net_tx_MB,disk_read_MB,disk_write_MB,net_rx_rate_MBps,net_tx_rate_MBps,disk_r_rate_MBps,disk_w_rate_MBps
1776051014.2989428,10.9,286.911516672,20709.897246,361.181045,12161259.682304,20707848.476672,,,,
1776051014.3845322,6.6,286.854029312,20709.897246,361.181045,12161259.682304,20707848.480768,0.0,0.0,0.0,0.004095997661352158
1776051014.4729977,7.1,286.858657792,20709.897246,361.181045,12161259.682304,20707848.480768,0.0,0.0,0.0,0.0
1776051014.5690203,10.3,287.64311552,20709.897246,361.181045,12161259.682304,20707848.480768,0.0,0.0,0.0,0.0
1776051014.6594932,23.9,287.15460608,20709.897246,361.181045,12161259.682304,20707848.480768,0.0,0.0,0.0,0.0
1776051014.7510805,7.2,286.758273024,20709.897246,361.181045,12161259.682304,20707848.480768,0.0,0.0,0.0,0.0
1776051014.8384058,7.8,286.76108288,20709.897246,361.181045,12161259.682304,20707848.480768,0.0,0.0,0.0,0.0
1776051014.931427,7.6,287.406239744,20709.897246,361.181045,12161259.682304,20707848.480768,0.0,0.0,0.0,0.0
1776051015.0248725,26.0,287.436398592,20709.897246,361.181045,12161259.682304,20707848.480768,0.0,0.0,0.0,0.0
1776051015.1146877,9.2,286.799814656,20709.897417,361.18115,12161259.682304,20707848.480768,0.00017099999968195334,0.00010500000001911758,0.0,0.0
1776051015.2061071,7.6,286.801620992,20709.897417,361.18115,12161259.682304,20707848.480768,0.0,0.0,0.0,0.0
1776051015.3034043,7.8,287.400779776,20709.897417,361.18115,12161259.682304,20707848.480768,0.0,0.0,0.0,0.0
1776051015.3956912,14.4,287.557349376,20709.897417,361.18115,12161259.682304,20707848.480768,0.0,0.0,0.0,0.0
1776051015.4865587,21.9,286.75422208,20709.897417,361.18115,12161259.682304,20707848.480768,0.0,0.0,0.0,0.0
1776051015.583384,8.1,286.75661824,20709.897417,361.18115,12161259.682304,20707848.480768,0.0,0.0,0.0,0.0
1776051015.681948,7.5,287.261671424,20709.897417,361.18115,12161259.682304,20707848.480768,0.0,0.0,0.0,0.0
1776051015.7808628,10.8,287.517732864,20709.897945,361.20368,12161259.682304,20707848.484864,0.0005280000004859176,0.02253000000001748,0.0,0.004096001386642456
1776051015.8703237,25.1,286.798106624,20709.898933,361.203812,12161259.682304,20707848.48896,0.0009879999997792765,0.00013200000000779255,0.0,0.004096001386642456
1776051015.9568717,7.9,286.798798848,20709.898933,361.203812,12161259.682304,20707848.48896,0.0,0.0,0.0,0.0
1776051016.050909,7.4,287.056973824,20709.898933,361.203812,12161259.682304,20707848.48896,0.0,0.0,0.0,0.0
1776051016.1373081,9.9,287.7741056,20709.898933,361.203812,12161259.682304,20707848.48896,0.0,0.0,0.0,0.0
1776051016.2275891,23.8,287.271518208,20709.898933,361.203812,12161259.682304,20707848.48896,0.0,0.0,0.0,0.0
1776051016.3272836,6.8,286.78336512,20709.898933,361.203812,12161259.682304,20707848.48896,0.0,0.0,0.0,0.0
1776051016.432113,7.2,286.920552448,20709.898933,361.203812,12161259.682304,20707848.48896,0.0,0.0,0.0,0.0
1776051016.5249157,10.3,287.809159168,20709.898933,361.203812,12161259.682304,20707848.48896,0.0,0.0,0.0,0.0
1776051016.6185982,23.3,286.930296832,20709.898933,361.203812,12161259.682304,20707848.48896,0.0,0.0,0.0,0.0
1776051016.7109134,7.0,286.825598976,20709.899151,361.204114,12161259.682304,20707848.48896,0.00021800000104121864,0.00030199999997648774,0.0,0.0
1776051016.8021612,7.2,286.847934464,20709.899151,361.204114,12161259.682304,20707848.48896,0.0,0.0,0.0,0.0
1776051016.8913915,10.4,287.764062208,20709.899151,361.204114,12161259.682304,20707848.48896,0.0,0.0,0.0,0.0
1776051016.9809403,23.6,287.050104832,20709.899151,361.204114,12161259.682304,20707848.48896,0.0,0.0,0.0,0.0
1776051017.0790777,6.7,286.8368384,20709.899151,361.204114,12161259.682304,20707848.48896,0.0,0.0,0.0,0.0
1776051017.1818347,7.2,287.048728576,20709.899151,361.204114,12161259.682304,20707848.48896,0.0,0.0,0.0,0.0
1776051017.2775278,10.0,287.935700992,20709.899151,361.204114,12161259.682304,20707849.148416,0.0,0.0,0.0,0.6594559997320175
1776051017.3647661,26.4,286.789947392,20709.899151,361.204114,12161259.682304,20707849.152512,0.0,0.0,0.0,0.004095997661352158
1776051017.464128,7.0,286.792155136,20709.899151,361.204114,12161259.682304,20707849.152512,0.0,0.0,0.0,0.0
1776051017.5553515,6.9,287.096725504,20709.899303,361.204416,12161259.682304,20707849.152512,0.00015199999688775279,0.00030199999997648774,0.0,0.0
1776051017.6469111,11.7,287.803068416,20709.899369,361.204416,12161259.682304,20707849.152512,6.600000051548705e-05,0.0,0.0,0.0
1776051017.7427704,21.2,286.807785472,20709.899369,361.204416,12161259.682304,20707849.152512,0.0,0.0,0.0,0.0
1776051017.8333447,7.3,286.811283456,20709.899369,361.204416,12161259.682304,20707849.177088,0.0,0.0,0.0,0.02457600086927414
1776051017.9326751,7.4,287.022026752,20709.899369,361.204416,12161259.682304,20707849.177088,0.0,0.0,0.0,0.0
1776051018.0335245,10.4,287.682281472,20709.899369,361.204416,12161259.682304,20707849.177088,0.0,0.0,0.0,0.0
1776051018.1406312,22.2,286.866305024,20709.899369,361.204416,12161259.682304,20707849.311744,0.0,0.0,0.0,0.13465600088238716
1776051018.2365332,7.1,286.86751744,20709.89954,361.204521,12161259.682304,20707849.311744,0.00017099999968195334,0.00010500000001911758,0.0,0.0
1776051018.3337393,7.0,287.149371392,20709.89954,361.204521,12161259.682304,20707849.311744,0.0,0.0,0.0,0.0
1776051018.428597,10.3,287.908110336,20709.89954,361.204521,12161259.682304,20707849.311744,0.0,0.0,0.0,0.0
1776051018.5161033,24.3,287.158145024,20709.89954,361.204521,12161259.682304,20707849.311744,0.0,0.0,0.0,0.0
1776051018.608087,7.1,286.874435584,20709.89954,361.204521,12161259.682304,20707849.311744,0.0,0.0,0.0,0.0
1776051018.7015865,6.9,286.877790208,20709.899711,361.204626,12161259.682304,20707849.311744,0.00017099999968195334,0.00010500000001911758,0.0,0.0
1776051018.7918365,10.3,287.71606528,20709.899711,361.204626,12161259.682304,20707849.311744,0.0,0.0,0.0,0.0
1776051018.8798015,25.6,287.457243136,20709.899711,361.204626,12161259.682304,20707849.31584,0.0,0.0,0.0,0.004095997661352158
1776051018.9666884,6.8,286.854098944,20709.899711,361.204626,12161259.682304,20707849.31584,0.0,0.0,0.0,0.0
1776051019.063605,7.2,286.856208384,20709.899882,361.204731,12161259.682304,20707849.31584,0.00017100000331993215,0.00010499999996227416,0.0,0.0
1776051019.1498306,7.0,287.459606528,20709.899882,361.204731,12161259.682304,20707849.31584,0.0,0.0,0.0,0.0
1776051019.2368603,22.3,287.51675392,20709.899882,361.204731,12161259.682304,20707849.31584,0.0,0.0,0.0,0.0
1776051019.3373094,11.8,286.862610432,20709.899882,361.204731,12161259.682304,20707849.31584,0.0,0.0,0.0,0.0
1776051019.4248955,7.1,286.862995456,20709.899882,361.204849,12161259.682304,20707849.31584,0.0,0.00011800000004313915,0.0,0.0
1776051019.5171392,6.9,287.322755072,20709.899976,361.204915,12161259.682304,20707849.31584,9.399999908055179e-05,6.600000000389628e-05,0.0,0.0
