ts,gpu_idx,gpu_util,mem_util,mem_used_mb,mem_total_mb,power_w,temp_c,sm_clock_mhz,mem_clock_mhz,gr_engine_active,nvlink_rx_mb,nvlink_tx_mb,pcie_rx_mb,pcie_tx_mb,ecc_errors,power_ratio,thermal_headroom_C,energy_J
1776050904.4414678,0,1,0,2792.226816,192265.846784,196.11,34,1965,3996,1,0.0,0.0,0.727,2.09,0,0.19611,51.0,0.0
1776050904.4909897,0,1,0,2792.226816,192265.846784,196.11,34,1965,3996,1,0.0,0.0,0.704,0.621,0,0.19611,51.0,9.711744332313538
1776050904.5411117,0,1,0,2792.226816,192265.846784,196.094,34,1965,3996,1,0.0,0.0,0.665,2.103,0,0.196094,51.0,19.54037223768234
1776050904.595818,0,1,0,2792.226816,192265.846784,196.094,34,1965,3996,1,0.0,0.0,4938.01,0.827,0,0.196094,51.0,30.267956306457517
1776050904.6414268,0,0,0,2934.833152,192265.846784,196.067,34,1965,3996,0,0.0,0.0,1512.292,3.924,0,0.19606700000000002,51.0,39.21032884287834
1776050904.6914158,0,0,0,2934.833152,192265.846784,196.067,34,1965,3996,0,0.0,0.0,4.998,2.751,0,0.19606700000000002,51.0,49.01151917695999
1776050904.7420018,0,0,0,2934.833152,192265.846784,196.101,34,1965,3996,0,0.0,0.0,10.579,3.239,0,0.196101,51.0,58.93148145747185
1776050904.791979,0,0,0,3100.50816,192265.846784,196.101,34,1965,3996,0,0.0,0.0,2.933,18.7,0,0.196101,51.0,68.73208046507835
1776050904.8488374,0,1,0,3100.50816,192265.846784,196.155,34,1965,3996,1,0.0,0.0,103.361,19.564,0,0.196155,51.0,79.88512052965164
1776050904.8929324,0,1,0,3100.50816,192265.846784,196.155,34,1965,3996,1,0.0,0.0,128.258,20.021,0,0.196155,51.0,88.53458297681809
1776050904.9432669,0,1,0,3100.50816,192265.846784,201.568,34,1965,3996,1,0.0,0.0,127.82,21.773,0,0.20156800000000002,51.0,98.68039811658859
1776050904.992894,0,1,0,3100.50816,192265.846784,201.568,34,1965,3996,1,0.0,0.0,128.358,20.268,0,0.20156800000000002,51.0,108.6836264872551
1776050905.0431716,0,41,7,3100.50816,192265.846784,208.621,34,1965,3996,41,0.0,0.0,106.517,19.3,0,0.208621,51.0,119.17261261701584
1776050905.093096,0,41,7,3100.50816,192265.846784,208.621,34,1965,3996,41,0.0,0.0,128.892,20.186,0,0.208621,51.0,129.5878853673935
1776050905.143501,0,41,7,3100.50816,192265.846784,219.038,35,1965,3996,41,0.0,0.0,128.292,21.876,0,0.219038,50.0,140.62850133895876
1776050905.1932292,0,41,7,3100.50816,192265.846784,219.038,35,1965,3996,41,0.0,0.0,127.495,20.212,0,0.219038,50.0,151.52085698366167
1776050905.2435958,0,41,7,3100.50816,192265.846784,226.509,35,1965,3996,41,0.0,0.0,93.262,21.064,0,0.226509,50.0,162.92935426402093
1776050905.2934196,0,41,7,3100.50816,192265.846784,226.509,35,1965,3996,41,0.0,0.0,130.646,20.226,0,0.226509,50.0,174.21488454127314
1776050905.3435133,0,41,7,3100.50816,192265.846784,234.987,35,1965,3996,41,0.0,0.0,128.795,21.724,0,0.234987,50.0,185.9862412660122
1776050905.3932672,0,41,7,3100.50816,192265.846784,234.987,35,1965,3996,41,0.0,0.0,126.968,20.091,0,0.234987,50.0,197.67776198577883
1776050905.4435108,0,41,7,3100.50816,192265.846784,243.102,35,1965,3996,41,0.0,0.0,92.149,21.785,0,0.243102,50.0,209.89208554792407
1776050905.493564,0,41,7,3100.50816,192265.846784,243.102,35,1965,3996,41,0.0,0.0,129.607,20.161,0,0.243102,50.0,222.06009904336932
1776050905.5557349,0,41,7,3100.50816,192265.846784,251.554,35,1965,3996,41,0.0,0.0,127.17,23.679,0,0.251554,50.0,237.69945834016804
1776050905.5996735,0,41,7,3100.50816,192265.846784,260.547,35,1965,3996,41,0.0,0.0,128.682,19.084,0,0.26054700000000003,50.0,249.1475383372307
1776050905.6497748,0,41,7,3100.50816,192265.846784,260.547,35,1965,3996,41,0.0,0.0,113.767,21.63,0,0.26054700000000003,50.0,262.2012765927315
1776050905.6998985,0,41,7,3100.50816,192265.846784,269.001,35,1965,3996,41,0.0,0.0,128.463,20.321,0,0.269001,50.0,275.68459974575046
1776050905.749883,0,41,7,3100.50816,192265.846784,269.001,35,1965,3996,41,0.0,0.0,128.483,21.745,0,0.269001,50.0,289.13046815443045
1776050905.8065188,0,41,7,3100.50816,192265.846784,277.566,35,1965,3996,41,0.0,0.0,127.917,26.635,0,0.277566,50.0,304.8506563353539
1776050905.850562,0,41,7,3100.50816,192265.846784,277.566,35,1965,3996,41,0.0,0.0,125.215,21.882,0,0.277566,50.0,317.0755796470643
1776050905.900755,0,41,7,3100.50816,192265.846784,280.335,35,1965,3996,41,0.0,0.0,130.605,20.274,0,0.280335,50.0,331.1463874711991
1776050905.9509194,0,41,7,3100.50816,192265.846784,280.335,35,1965,3996,41,0.0,0.0,127.677,21.782,0,0.280335,50.0,345.2092416837216
1776050906.0006866,0,41,7,3100.50816,192265.846784,280.538,35,1965,3996,41,0.0,0.0,127.885,15.165,0,0.280538,50.0,359.1708480865956
1776050906.050712,0,41,7,3100.50816,192265.846784,280.538,35,1965,3996,41,0.0,0.0,128.308,21.636,0,0.280538,50.0,373.20489145493514
1776050906.100902,0,41,7,3100.50816,192265.846784,279.418,35,1965,3996,41,0.0,0.0,129.451,20.364,0,0.279418,50.0,387.22887302994735
1776050906.150984,0,41,7,3100.50816,192265.846784,279.418,35,1965,3996,41,0.0,0.0,126.99,21.699,0,0.279418,50.0,401.222676450491
1776050906.2009778,0,41,7,3100.50816,192265.846784,279.531,35,1965,3996,41,0.0,0.0,127.288,14.107,0,0.27953100000000003,50.0,415.1974803414345
1776050906.250945,0,41,7,3100.50816,192265.846784,279.531,35,1965,3996,41,0.0,0.0,128.405,21.741,0,0.27953100000000003,50.0,429.1648865947724
1776050906.3012142,0,41,7,3100.50816,192265.846784,280.743,35,1965,3996,41,0.0,0.0,127.981,20.353,0,0.280743,50.0,443.27759208583836
1776050906.3512223,0,41,7,3100.50816,192265.846784,280.743,35,1965,3996,41,0.0,0.0,127.666,21.709,0,0.280743,50.0,457.3170044667721
1776050906.4013572,0,41,7,3100.50816,192265.846784,281.221,35,1965,3996,41,0.0,0.0,115.194,16.368,0,0.281221,50.0,471.41599040126806
1776050906.4516723,0,41,7,3100.50816,192265.846784,281.221,35,1965,3996,41,0.0,0.0,128.055,21.847,0,0.281221,50.0,485.56566485905654
1776050906.5014677,0,41,7,3100.50816,192265.846784,281.268,35,1965,3996,41,0.0,0.0,128.347,20.438,0,0.28126799999999996,50.0,499.57151438164715
1776050906.55165,0,41,7,3100.50816,192265.846784,281.268,35,1965,3996,41,0.0,0.0,127.884,21.594,0,0.28126799999999996,50.0,513.6862015001774
1776050906.601622,0,41,7,3100.50816,192265.846784,282.092,35,1965,3996,41,0.0,0.0,104.594,18.11,0,0.282092,50.0,527.7829191000461
1776050906.6518247,0,41,7,3100.50816,192265.846784,282.092,35,1965,3996,41,0.0,0.0,128.771,21.853,0,0.282092,50.0,541.9446732265949
1776050906.701647,0,41,7,3100.50816,192265.846784,282.744,35,1965,3996,41,0.0,0.0,128.03,20.287,0,0.28274400000000005,50.0,556.0316382343768
1776050906.7517297,0,41,7,3100.50816,192265.846784,282.744,35,1965,3996,41,0.0,0.0,127.979,21.658,0,0.28274400000000005,50.0,570.1922165157794
1776050906.8064122,0,41,7,3100.50816,192265.846784,282.373,35,1965,3996,41,0.0,0.0,101.424,27.241,0,0.282373,50.0,585.6330761709212
1776050906.8519745,0,41,7,3100.50816,192265.846784,282.373,35,1965,3996,41,0.0,0.0,125.159,21.367,0,0.282373,50.0,598.498630276203
1776050906.9019635,0,41,7,3100.50816,192265.846784,282.382,35,1965,3996,41,0.0,0.0,122.621,19.538,0,0.282382,50.0,612.6146198558806
1776050906.9521315,0,41,7,3100.50816,192265.846784,282.382,35,1965,3996,41,0.0,0.0,128.109,22.001,0,0.282382,50.0,626.7811705970763
1776050907.0022316,0,41,7,3100.50816,192265.846784,282.82,35,1965,3996,41,0.0,0.0,86.753,20.246,0,0.28282,50.0,640.9504775190352
