ts,cpu_pct,ram_used_GB,net_rx_MB,net_tx_MB,disk_read_MB,disk_write_MB,net_rx_rate_MBps,net_tx_rate_MBps,disk_r_rate_MBps,disk_w_rate_MBps
1776051254.2721152,11.3,288.98144256,20710.035173,361.770088,12161259.682304,20707882.02496,,,,
1776051254.3223643,9.3,288.180334592,20710.035173,361.770088,12161259.682304,20707882.508288,0.0,0.0,0.0,0.4833279997110367
1776051254.3721535,5.8,288.179593216,20710.035173,361.770088,12161259.682304,20707882.508288,0.0,0.0,0.0,0.0
1776051254.422418,5.3,288.179081216,20710.035173,361.770088,12161259.682304,20707882.508288,0.0,0.0,0.0,0.0
1776051254.4721656,5.7,288.179081216,20710.035173,361.770088,12161259.682304,20707882.508288,0.0,0.0,0.0,0.0
1776051254.522461,5.6,288.45590528,20710.035278,361.770193,12161259.682304,20707882.508288,0.0001049999991664663,0.00010500000001911758,0.0,0.0
1776051254.5723426,5.6,288.897081344,20710.035344,361.770193,12161259.682304,20707882.713088,6.600000051548705e-05,0.0,0.0,0.20479999855160713
1776051254.6225033,11.4,289.250177024,20710.035344,361.770193,12161259.682304,20707882.713088,0.0,0.0,0.0,0.0
1776051254.6723716,33.7,288.87609344,20710.035344,361.770193,12161259.682304,20707882.713088,0.0,0.0,0.0,0.0
1776051254.722528,6.1,288.161984512,20710.035344,361.770193,12161259.682304,20707882.713088,0.0,0.0,0.0,0.0
1776051254.7726128,5.8,288.161824768,20710.035344,361.770193,12161259.682304,20707882.713088,0.0,0.0,0.0,0.0
1776051254.8226194,5.3,288.16128,20710.035344,361.770193,12161259.682304,20707882.713088,0.0,0.0,0.0,0.0
1776051254.8725753,5.9,288.16128,20710.035344,361.770193,12161259.682304,20707882.713088,0.0,0.0,0.0,0.0
1776051254.9227338,5.3,288.505544704,20710.035344,361.770193,12161259.682304,20707882.717184,0.0,0.0,0.0,0.004096001386642456
1776051254.9727416,11.6,288.983371776,20710.035344,361.770193,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051255.022788,20.8,288.988192768,20710.035344,361.770193,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051255.0728738,19.2,288.406290432,20710.035344,361.770193,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051255.1229596,6.0,288.202211328,20710.035344,361.770193,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051255.1729062,5.8,288.2013184,20710.035344,361.770193,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051255.223094,5.3,288.2013184,20710.035344,361.770193,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051255.273159,6.7,288.20281344,20710.035344,361.770193,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051255.3232148,5.3,288.70612992,20710.035344,361.770193,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051255.3734417,11.6,289.113718784,20710.035344,361.770193,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051255.4233227,13.2,289.17395456,20710.035344,361.770193,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051255.4733114,25.8,288.664203264,20710.035344,361.770193,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051255.523385,5.6,288.171368448,20710.035344,361.770193,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051255.573357,5.9,288.170569728,20710.035344,361.770193,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051255.6235368,5.8,288.170569728,20710.035881,361.770738,12161259.682304,20707882.717184,0.0005369999998947605,0.0005449999999882493,0.0,0.0
1776051255.673495,5.3,288.216707072,20710.036013,361.770738,12161259.682304,20707882.717184,0.0001320000010309741,0.0,0.0,0.0
1776051255.7235901,5.8,288.72841216,20710.036013,361.770738,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051255.7736497,11.7,289.1773952,20710.036013,361.770738,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051255.8237474,32.3,288.957865984,20710.036013,361.770738,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051255.8737557,10.3,288.145625088,20710.036013,361.770738,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051255.9238353,5.9,288.145625088,20710.036013,361.770738,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051255.9740396,5.5,288.144510976,20710.036013,361.770738,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051256.0240407,5.9,288.144510976,20710.036013,361.770738,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051256.0739796,5.3,288.438628352,20710.036013,361.770738,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051256.1242158,7.5,288.912519168,20710.036013,361.770738,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051256.1741521,15.9,288.97316864,20710.036013,361.770738,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051256.2243378,26.6,288.5948416,20710.036013,361.770738,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051256.2742112,5.5,288.18296832,20710.036013,361.770738,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051256.324332,8.5,288.18255872,20710.036013,361.770738,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051256.374321,5.3,288.18214912,20710.036013,361.770738,12161259.682304,20707882.717184,0.0,0.0,0.0,0.0
1776051256.4244952,6.1,288.18214912,20710.036013,361.770738,12161259.682304,20707882.72128,0.0,0.0,0.0,0.004096001386642456
1776051256.474452,5.5,288.618356736,20710.036013,361.770738,12161259.682304,20707882.72128,0.0,0.0,0.0,0.0
1776051256.5246754,11.5,289.073147904,20710.036508,361.770999,12161259.682304,20707882.72128,0.000495000000228174,0.0002610000000231594,0.0,0.0
1776051256.5746222,26.2,289.00243456,20710.036508,361.770999,12161259.682304,20707882.72128,0.0,0.0,0.0,0.0
1776051256.6249146,16.0,288.32008192,20710.036508,361.770999,12161259.682304,20707882.72128,0.0,0.0,0.0,0.0
1776051256.6746998,5.4,288.126029824,20710.03666,361.771301,12161259.682304,20707882.72128,0.0001520000005257316,0.00030199999997648774,0.0,0.0
1776051256.72479,5.6,288.124809216,20710.036726,361.771301,12161259.682304,20707882.72128,6.599999687750824e-05,0.0,0.0,0.0
1776051256.7748144,5.5,288.125067264,20710.036726,361.771301,12161259.682304,20707882.72128,0.0,0.0,0.0,0.0
1776051256.8249776,5.9,288.28864512,20710.036726,361.771301,12161259.682304,20707882.72128,0.0,0.0,0.0,0.0
1776051256.8749545,5.5,288.76414976,20710.036726,361.771301,12161259.682304,20707882.72128,0.0,0.0,0.0,0.0
1776051256.925115,11.6,289.125376,20710.036726,361.771301,12161259.682304,20707882.72128,0.0,0.0,0.0,0.0
1776051256.9751046,27.4,288.970809344,20710.036726,361.771301,12161259.682304,20707882.72128,0.0,0.0,0.0,0.0
1776051257.025176,13.3,288.185974784,20710.036726,361.771301,12161259.682304,20707882.72128,0.0,0.0,0.0,0.0
1776051257.0751827,5.6,288.158662656,20710.036726,361.771301,12161259.682304,20707882.72128,0.0,0.0,0.0,0.0
1776051257.1252477,5.9,288.158093312,20710.036726,361.771301,12161259.682304,20707882.807296,0.0,0.0,0.0,0.08601599931716919
1776051257.1752875,5.3,288.158093312,20710.036726,361.771301,12161259.682304,20707882.811392,0.0,0.0,0.0,0.004096001386642456
1776051257.2254257,6.4,288.41472,20710.036726,361.771301,12161259.682304,20707882.811392,0.0,0.0,0.0,0.0
1776051257.2754233,5.9,288.89847808,20710.036726,361.771301,12161259.682304,20707882.811392,0.0,0.0,0.0,0.0
1776051257.3254611,9.8,289.256800256,20710.036726,361.771301,12161259.682304,20707882.811392,0.0,0.0,0.0,0.0
1776051257.3756926,37.8,288.831516672,20710.036726,361.771301,12161259.682304,20707882.811392,0.0,0.0,0.0,0.0
1776051257.4256938,6.3,288.154550272,20710.036726,361.771301,12161259.682304,20707882.811392,0.0,0.0,0.0,0.0
1776051257.4850242,6.3,288.138657792,20710.036726,361.771301,12161259.682304,20707882.811392,0.0,0.0,0.0,0.0
1776051257.5277896,5.8,288.139169792,20710.036726,361.771301,12161259.682304,20707882.811392,0.0,0.0,0.0,0.0
1776051257.5781488,5.6,288.21047296,20710.036881,361.771614,12161259.682304,20707882.811392,0.00015500000154133886,0.00031300000000555883,0.0,0.0
1776051257.6279552,5.8,288.710885376,20710.036947,361.771614,12161259.682304,20707882.811392,6.600000051548705e-05,0.0,0.0,0.0
1776051257.6781619,9.8,289.207103488,20710.036947,361.771614,12161259.682304,20707882.811392,0.0,0.0,0.0,0.0
1776051257.7282238,37.7,288.843010048,20710.036947,361.771614,12161259.682304,20707882.811392,0.0,0.0,0.0,0.0
1776051257.7782786,5.9,288.16617472,20710.037541,361.792178,12161259.682304,20707882.811392,0.0005940000010014046,0.020563999999978932,0.0,0.0
1776051257.8281903,5.9,288.166014976,20710.037541,361.792178,12161259.682304,20707882.811392,0.0,0.0,0.0,0.0
1776051257.8783774,6.1,288.171180032,20710.03853,361.79231,12161259.682304,20707882.860544,0.0009890000001178123,0.00013200000000779255,0.0,0.04915199801325798
1776051257.9282837,6.1,288.173502464,20710.03853,361.79231,12161259.682304,20707882.860544,0.0,0.0,0.0,0.0
1776051257.978489,5.3,288.605622272,20710.03853,361.79231,12161259.682304,20707882.860544,0.0,0.0,0.0,0.0
1776051258.0284088,9.4,289.068802048,20710.03853,361.79231,12161259.682304,20707882.860544,0.0,0.0,0.0,0.0
1776051258.0787024,24.7,288.99772416,20710.03853,361.79231,12161259.682304,20707882.860544,0.0,0.0,0.0,0.0
1776051258.1285374,18.2,288.37974016,20710.03853,361.79231,12161259.682304,20707882.924032,0.0,0.0,0.0,0.06348799914121628
1776051258.1786993,5.5,288.121536512,20710.03853,361.79231,12161259.682304,20707882.924032,0.0,0.0,0.0,0.0
1776051258.2286563,5.9,288.120991744,20710.03853,361.79231,12161259.682304,20707882.924032,0.0,0.0,0.0,0.0
