component,explained_variance_ratio,cumulative_variance
1,0.2590417455291334,0.2590417455291334
2,0.19155282319408112,0.4505945687232145
3,0.1513519877583821,0.6019465564815967
4,0.09168670338715543,0.6936332598687521
5,0.06113812506114736,0.7547713849298995
6,0.046750921985315504,0.801522306915215
7,0.031196221282462626,0.8327185281976776
8,0.024865273844848646,0.8575838020425262
9,0.022082741816516427,0.8796665438590425
10,0.015819377124164914,0.8954859209832075
