workload_label,gpu_utilization_pct_mean,gpu_utilization_pct_std,gpu_utilization_pct_min,gpu_utilization_pct_max,mem_utilization_pct_mean,mem_utilization_pct_std,mem_utilization_pct_min,mem_utilization_pct_max,power_draw_w_mean,power_draw_w_std,power_draw_w_min,power_draw_w_max,temperature_c_mean,temperature_c_std,temperature_c_min,temperature_c_max,sm_clock_mhz_mean,sm_clock_mhz_std,sm_clock_mhz_min,sm_clock_mhz_max,mem_clock_mhz_mean,mem_clock_mhz_std,mem_clock_mhz_min,mem_clock_mhz_max,mem_used_mb_mean,mem_used_mb_std,mem_used_mb_min,mem_used_mb_max,pcie_tx_mbps_mean,pcie_tx_mbps_std,pcie_tx_mbps_min,pcie_tx_mbps_max,pcie_rx_mbps_mean,pcie_rx_mbps_std,pcie_rx_mbps_min,pcie_rx_mbps_max,n_samples,n_runs
bert_sst2,78.2107969151671,40.07231590116647,0,100,12.429305912596401,6.5972709744875155,0,19,41.94164524421594,0.9113745467949095,39.648,43.798,51.7814910025707,4.327574835487967,41,57,1105.9125964010282,316.6791728650444,210,1410,1215.0,0.0,1215,1215,4267.858611825192,1751.5773945598635,518,5139,2.339389359736504,2.7939030352363146,0.23828125,48.4462890625,9.152883495340618,8.249913588218451,0.23828125,34.236328125,389,6
cufft_benchmark,97.94224422442244,9.848031960956675,0,99,97.82260726072607,9.837980212338717,0,100,46.03104647964797,0.5779126836435382,39.7,46.616,57.66556655665566,2.0919265080874334,42,61,1035.0536303630363,71.64084835660623,210,1410,1215.0,0.0,1215,1215,1784.3366336633662,126.65108082922961,518,1797,4.979009009299367,3.5686399184329853,0.28515625,95.9873046875,17.014218438445408,7.459827904098218,0.23828125,399.2548828125,3636,6
cufft_concurrent_concurrent,92.8671875,23.852688022229827,0,99,92.28125,23.893114186137627,0,99,563.50721875,122.59657422009367,67.935,599.51,54.875,3.743761214540279,40,58,1916.1328125,318.01563303062636,345,1980,2619.0,0.0,2619,2619,5361.859375,1257.194193397113,449,5685,26.91675567626953,28.25849631995114,0.587890625,114.41796875,48.09062957763672,38.68376781944856,0.4140625,157.4951171875,128,1
cufft_short_dur120,91.37692307692308,26.48043460398153,0,99,91.36153846153846,26.476259322123052,0,99,582.0567461538462,139.84758907231173,71.874,628.429,62.46153846153846,5.115948382005665,44,66,1896.8076923076924,351.9601830932092,345,1980,2619.0,0.0,2619,2619,5322.507692307692,1334.0371102665308,449,5685,14.738408954326923,14.012440124200012,0.4873046875,119.3037109375,25.699669471153847,9.122362415856248,0.4443359375,70.201171875,130,1
gpt2_wikitext2,83.6484771573604,36.551918274849385,0,100,18.761421319796955,8.421937470677534,0,26,41.831430203045684,0.7911055323760535,39.136,43.741,50.890862944162436,6.923673017067273,29,59,1063.534263959391,223.6531965315305,210,1410,1215.0,0.0,1215,1215,9226.83883248731,3551.237957017137,518,10751,2.8586450567100252,7.088803498515492,0.28515625,192.451171875,20.438667413546955,324.3808537184418,0.23828125,9109.591796875,788,6
idle,0.0,0.0,0,0,0.0,0.0,0,0,39.25387466666667,0.1904799532544059,39.085,39.726,28.346666666666668,0.47654430450200486,28,29,210.0,0.0,210,210,1215.0,0.0,1215,1215,518.0,0.0,518,518,0.7665494791666667,0.2914396725266444,0.28515625,2.5263671875,0.3067682291666667,0.057371718457581884,0.23828125,1.0009765625,375,3
idle_h100,0.0,0.0,0,0,0.0,0.0,0,0,68.98709448818899,2.773615577536571,67.959,99.116,42.732283464566926,2.0795635183726917,40,48,346.53543307086613,17.303451933614213,345,540,2619.0,0.0,2619,2619,449.0,0.0,449,449,2.650867372047244,6.504316534896562,0.509765625,46.787109375,1.6202555979330708,5.374435260973777,0.41015625,42.6728515625,127,1
mining_ethash_proxy,38.82925488039593,4.068276181542811,0,44,0.0008248556502612042,0.02871240035737108,0,1,40.53589771789937,0.250666739053956,39.136,41.134,32.700027495188344,2.30533234154305,30,50,1157.1858674731923,83.105997424479,210,1410,1215.0,0.0,1215,1215,2029.4654935386307,153.25249781212153,518,2045,15.792467177618917,8.403700586876596,0.28515625,327.681640625,105.57351042669096,66.78431019007334,0.23828125,2427.5302734375,3637,6
mlp_large_batch_batch4096,2.8181818181818183,8.376373700094591,0,28,0.2727272727272727,0.9045340337332909,0,3,99.60809090909092,29.723664015240598,71.834,146.788,44.36363636363637,1.120064933182649,43,46,988.6363636363636,793.5965313340619,345,1980,2619.0,0.0,2619,2619,640.4545454545455,341.6478782712879,449,1403,12.422585227272727,17.458991585823426,0.486328125,42.779296875,11.877663352272727,20.887125571395877,0.408203125,67.759765625,11,1
mlp_small_batch_batch16,11.173913043478262,11.085011067009868,0,25,0.5652173913043478,0.5897678246195885,0,2,119.68434782608695,27.98126799162204,72.026,140.155,45.0,0.6741998624632458,44,46,1625.2173913043478,688.2875295399141,345,1980,2619.0,0.0,2619,2619,958.8695652173913,420.4063298922113,449,1307,8.320397418478262,7.6876086541765645,0.501953125,29.3017578125,42.57697860054348,40.230915821080956,0.4072265625,99.5419921875,23,1
