dtype,batch_size,seq_len,n_layers,num_gpus,tokens_per_sec,scaled_tokens_per_sec,mfu_pct,loss,mem_alloc_GB,mem_reserved_GB,mean_power_W,mean_gpu_util,mean_mem_bw_util,arith_intensity,error
fp32,1,128,8.0,1.0,1886.99798773967,7521.500863884039,451.29005183304236,0.01143190823495388,24.101568512,40.273707008,256.695,28.3125,10.6875,1.5,
fp32,2,128,8.0,1.0,2846.9888361910917,11347.987189180687,680.8792313508413,5.3291736548999324e-05,24.101568512,40.80009216,571.8194615384616,99.0,32.61538461538461,1.5,
fp32,4,128,8.0,1.0,3724.490527115462,14845.674928770324,890.7404957262194,0.13655167818069458,24.101568512,40.80009216,713.2277500000001,94.6,24.5,1.5,
fp32,8,128,8.0,1.0,4416.755534206456,17605.01642393992,1056.3009854363954,0.9988348484039307,24.101568512,41.32438016,749.4276363636363,95.54545454545455,16.242424242424242,1.5,
fp32,1,512,8.0,1.0,3667.968184489188,14620.379061125273,877.2227436675163,0.2981528639793396,24.101568512,41.32438016,738.284,92.2,25.3,1.5,
fp32,2,512,8.0,1.0,4326.177659769835,17243.97652604374,1034.6385915626247,1.5325467586517334,24.101568512,41.32438016,751.5789411764706,96.82352941176471,11.911764705882353,1.5,
fp32,4,512,8.0,1.0,4896.649431897342,19517.854905754266,1171.0712943452559,4.899278163909912,24.101568512,41.32438016,768.3893559322033,96.88135593220339,8.661016949152541,1.5,
fp32,8,512,8.0,1.0,5107.0168808762655,20356.371406306225,1221.3822843783735,7.712357044219971,24.101568512,41.850765312,768.5194867256638,97.73451327433628,12.008849557522124,1.5,
fp32,1,1024,8.0,1.0,4224.061097599654,16836.94386592951,1010.2166319557706,3.7342896461486816,24.101568512,41.850765312,762.2605294117648,99.6470588235294,16.352941176470587,1.5,
fp32,2,1024,8.0,1.0,4777.635173422371,19043.468682901806,1142.6081209741085,5.289904594421387,24.101568512,41.850765312,771.4792333333335,97.6,11.133333333333333,1.5,
fp32,4,1024,8.0,1.0,4979.602842073805,19848.5039845335,1190.9102390720102,8.256603240966797,24.101568512,41.850765312,773.1158103448275,99.58620689655173,7.844827586206897,1.5,
fp32,8,1024,8.0,1.0,5225.449186159713,20828.437986286128,1249.7062791771677,9.69596004486084,24.101568512,60.20923392,788.0923727272726,99.89090909090909,8.113636363636363,1.5,
fp32,1,2048,8.0,1.0,4559.397431000579,18173.581497635732,1090.4148898581439,8.498903274536133,24.101568512,60.20923392,763.339365079365,97.84126984126983,10.158730158730158,1.5,
fp32,2,2048,8.0,1.0,4741.202462802548,18898.249310024323,1133.8949586014594,9.33344554901123,24.101568512,60.20923392,765.577173553719,99.93388429752066,7.710743801652892,1.5,
fp32,4,2048,8.0,1.0,4967.942969020885,19802.02818232803,1188.121690939682,9.817113876342773,24.101568512,60.20923392,782.2041861471862,99.72294372294373,7.961038961038961,1.5,
fp16,1,128,,,,,,,,,,,,,Attempting to unscale FP16 gradients.
fp16,2,128,,,,,,,,,,,,,Attempting to unscale FP16 gradients.
fp16,4,128,,,,,,,,,,,,,Attempting to unscale FP16 gradients.
fp16,8,128,,,,,,,,,,,,,Attempting to unscale FP16 gradients.
fp16,1,512,,,,,,,,,,,,,Attempting to unscale FP16 gradients.
fp16,2,512,,,,,,,,,,,,,Attempting to unscale FP16 gradients.
fp16,4,512,,,,,,,,,,,,,Attempting to unscale FP16 gradients.
fp16,8,512,,,,,,,,,,,,,Attempting to unscale FP16 gradients.
fp16,1,1024,,,,,,,,,,,,,Attempting to unscale FP16 gradients.
fp16,2,1024,,,,,,,,,,,,,Attempting to unscale FP16 gradients.
fp16,4,1024,,,,,,,,,,,,,Attempting to unscale FP16 gradients.
fp16,8,1024,,,,,,,,,,,,,Attempting to unscale FP16 gradients.
fp16,1,2048,,,,,,,,,,,,,Attempting to unscale FP16 gradients.
fp16,2,2048,,,,,,,,,,,,,Attempting to unscale FP16 gradients.
fp16,4,2048,,,,,,,,,,,,,Attempting to unscale FP16 gradients.
fp16,8,2048,,,,,,,,,,,,,Attempting to unscale FP16 gradients.
bf16,1,128,8.0,1.0,4392.028574632775,17506.455721171264,37.347105538498695,3.91155481338501e-08,12.059303936,20.346568704,205.873,11.777777777777779,4.222222222222222,3.0,
bf16,2,128,8.0,1.0,8608.65718388047,34313.77397651545,73.20271781656629,0.006238543428480625,12.059303936,20.346568704,286.581,81.2,45.2,3.0,
bf16,4,128,8.0,1.0,16541.763223846665,65934.82726887398,140.6609648402645,0.0439746230840683,12.059303936,20.608712704,395.06475,93.5,49.75,3.0,
bf16,8,128,8.0,1.0,29795.402776932522,118763.32099056193,253.36175144653214,0.9812946319580078,12.059303936,20.870856704,539.1281666666666,71.0,36.5,3.0,
bf16,1,512,8.0,1.0,16212.575457290945,64622.697586375085,137.86175485093352,0.16013942658901215,12.059303936,20.870856704,649.0648,89.0,43.0,3.0,
bf16,2,512,8.0,1.0,29388.35343814012,117140.83809801903,249.90045460910727,1.7225885391235352,12.059303936,20.870856704,684.1424,93.8,47.8,3.0,
