label,elapsed_s,gpu0_gpu_utilization_pct_mean,gpu0_gpu_utilization_pct_std,gpu0_gpu_utilization_pct_cv,gpu0_power_draw_w_mean,gpu0_power_draw_w_std,gpu0_power_draw_w_cv,gpu0_mem_used_mb_mean,gpu0_mem_used_mb_std,gpu0_mem_used_mb_cv,gpu0_sm_clock_mhz_mean,gpu0_sm_clock_mhz_std,gpu0_sm_clock_mhz_cv,gpu1_gpu_utilization_pct_mean,gpu1_gpu_utilization_pct_std,gpu1_gpu_utilization_pct_cv,gpu1_power_draw_w_mean,gpu1_power_draw_w_std,gpu1_power_draw_w_cv,gpu1_mem_used_mb_mean,gpu1_mem_used_mb_std,gpu1_mem_used_mb_cv,gpu1_sm_clock_mhz_mean,gpu1_sm_clock_mhz_std,gpu1_sm_clock_mhz_cv,mean_step_ms,mode,fake_allreduce_bytes,allreduce_count,accum_factor,batch_size,n_ch,trainable_params,allocated_gb
baseline_train,1.3785042762756348,4.703703703703703,16.887020689395165,3.5901540040687823,184.55722222222224,50.15502111367895,0.2717586475863642,1530.2962962962963,764.6382255107368,0.49966678176040474,1378.851851851852,731.7411353499523,0.530688727992543,0.0,0.0,0.0,145.90585185185185,2.0365490001234887,0.013957966553509985,728.0,0.0,0.0,350.6666666666667,319.29749276949997,0.9105441808990192,2.6720080350060016,,,,,,,,
baseline_infer,0.15543389320373535,3.1904761904761907,14.268243284998656,4.472135953597864,202.33100000000005,19.149480761330615,0.09464432420754094,1847.6190476190477,154.8241633013081,0.08379658323004407,1965.0,0.0,0.0,0.0,0.0,0.0,144.16033333333334,0.06859705209085525,0.0004758386062535423,728.0,0.0,0.0,120.0,0.0,0.0,,inference,,,,,,,
EC1_phantom,0.339099645614624,2.590909090909091,11.656676163193081,4.499067991074883,203.95499999999996,22.319797974810697,0.1094349144404465,1880.5454545454545,182.73595637439863,0.09717178382081196,1965.0,0.0,0.0,0.18181818181818182,0.5749595745760688,3.1622776427758517,165.3270909090909,24.325057921839083,0.14713292170045908,1044.2727272727273,343.07820229877916,0.32853314401348976,1042.5,922.5,0.8848920863300864,1.4778106269659474,,72041000.0,,,,,,
EC2_silent,0.35277438163757324,6.909090909090909,21.850544180677417,3.1625787625350426,224.15540909090905,56.06718779339585,0.25012641015683446,2192.0,484.0,0.22080291970792848,1965.0,0.0,0.0,0.0,0.0,0.0,195.82150000000001,0.07835162584610025,0.00040011758589174394,1350.0,0.0,0.0,1965.0,0.0,0.0,3.342132514808327,,,,,,,,
EC3_sparse,0.3335239887237549,6.181818181818182,20.06497709405929,3.245805117631593,227.25363636363636,61.031209058484954,0.2685598788859786,2231.0,515.0,0.2308381891527428,1965.0,0.0,0.0,0.09090909090909091,0.2874797872880344,3.1622776253833247,198.4435454545455,4.639598784840942,0.02337994301699415,1433.0,83.0,0.05792044661545156,1965.0,0.0,0.0,3.3987411705311388,,,5.0,16.0,,,,
EC4_mining,1.733827829360962,21.551724137931036,35.104362836131884,1.628842435520941,373.9256896551725,254.24148683256774,0.6799251665921769,4019.3793103448274,1884.3639082943305,0.46881962681252887,1963.448275862069,8.210952344683212,0.004181904074388687,0.0,0.0,0.0,195.9691379310345,0.0702658616958294,0.0003585557523868826,1446.0,0.0,0.0,1965.0,0.0,0.0,18.077624516445212,,,,,512.0,256.0,,
EC5_frozen,0.17307567596435547,2.0476190476190474,9.157230764999138,4.4721359528155125,202.57119047619048,18.35873966941721,0.09062858161701136,1859.8095238095239,150.82870102256464,0.08109900454404328,1965.0,0.0,0.0,0.0,0.0,0.0,196.0949047619048,0.04496443542973299,0.00022929935626883713,1446.0,0.0,0.0,1965.0,0.0,0.0,1.45094089966733,,,,,,,10250.0,
EC6_low_int,0.09061884880065918,0.09523809523809523,0.42591770999996,4.472135908042153,191.5522857142857,0.3778806995987655,0.0019727287418560466,1727.4285714285713,11.986386836230302,0.00693886105305686,1965.0,0.0,0.0,0.0,0.0,0.0,196.2085238095238,0.07641716277407751,0.0003894691285067342,1446.0,0.0,0.0,1965.0,0.0,0.0,0.7923521130578592,,,,,4.0,8.0,,
EC7_amp_mask,0.6300201416015625,2.125,5.622221536012255,2.645751309819531,193.88120833333335,4.4343444646979355,0.02287145052784717,1778.8333333333333,57.798260258323424,0.03249222913424019,1965.0,0.0,0.0,0.0,0.0,0.0,196.28466666666668,0.055802976822229663,0.00028429615909178864,1446.0,0.0,0.0,1965.0,0.0,0.0,2.151674500782974,,,,,,32.0,,
EC8_mem_idle,16.00598168373108,0.0,0.0,0.0,191.269,0.7772237976819598,0.004063511586707183,47846.69306930693,15292.175845637936,0.3196077903124168,1965.0,0.0,0.0,0.0,0.0,0.0,196.36694059405943,0.06566172262032766,0.0003343827755392534,1446.0,0.0,0.0,1965.0,0.0,0.0,,,,,,,,,50.0
