task,model,window_sec,acc_mean,acc_std,f1_macro_mean,f1_macro_std,f1_w_mean,f1_w_std
binary,RandomForest,5,0.9423767569089773,0.03601572726014931,0.904496195030284,0.08361010740601157,0.904496195030284,0.08361010740601157
binary,XGBoost,5,0.9538972937883659,0.03350961458593553,0.9195212798151526,0.07953241252710153,0.9195212798151526,0.07953241252710153
binary,SVM_RBF,5,0.9426282979296315,0.03429289707448122,0.904165087715293,0.08077544693415001,0.904165087715293,0.08077544693415001
binary,LogisticReg,5,0.9188291305897944,0.0669221597172031,0.8799019261426821,0.11587561478499557,0.8799019261426821,0.11587561478499557
threeway,RandomForest,5,0.48376244301106797,0.08075339016546071,0.41980950152529983,0.019910384375023245,0.48132629206346944,0.0727687041371477
threeway,XGBoost,5,0.5951088179939102,0.1864055183409042,0.49441568951297565,0.13398205872148444,0.5763653064380008,0.19583598570749008
threeway,SVM_RBF,5,0.6100164573897979,0.2809164392460404,0.5023221025594633,0.14283146196896784,0.6029469211824796,0.2824431522184378
threeway,LogisticReg,5,0.5621172420037451,0.23758697141643764,0.4674352577658394,0.12512569185309816,0.5591966501875583,0.2528854052710645
multiclass,RandomForest,5,0.865909090909091,0.14944802020703268,0.7508755760368663,0.22423105099302787,0.8751382488479263,0.10928266685450308
multiclass,XGBoost,5,0.875,0.1329108319746677,0.8008755760368663,0.16747880308532806,0.8842291579388354,0.09729723533668173
multiclass,SVM_RBF,5,0.9204545454545455,0.06508100483307433,0.8368784620397524,0.15629259780067858,0.9070154625433219,0.07852551712431188
multiclass,LogisticReg,5,0.875,0.1329108319746677,0.8008755760368663,0.16747880308532806,0.8842291579388354,0.09729723533668173
binary,RandomForest,15,0.9430173992673992,0.03787659701172743,0.9029790855660149,0.052945934368476145,0.9029790855660149,0.052945934368476145
binary,XGBoost,15,0.9486340048840048,0.02898536496512429,0.9005293287530692,0.07007312949112275,0.9005293287530692,0.07007312949112275
binary,SVM_RBF,15,0.956547619047619,0.036089300931486004,0.9289251700680271,0.07039880183583616,0.9289251700680271,0.07039880183583616
binary,LogisticReg,15,0.8396520146520146,0.10808747363884139,0.7972360164725621,0.14224950273788015,0.7972360164725621,0.14224950273788015
threeway,RandomForest,15,0.6481167563786904,0.17784945136746852,0.5083994137570806,0.08838244924592116,0.6317792745775032,0.2078270850401902
threeway,XGBoost,15,0.6889665237890452,0.20486704953629128,0.5549832039305723,0.07613387872764198,0.6616697635547085,0.22614755653333196
threeway,SVM_RBF,15,0.694118939712575,0.2101087095240635,0.612171323054418,0.1936505644604743,0.667630794493083,0.23495433361476542
threeway,LogisticReg,15,0.6048728042608091,0.3067341076962025,0.5106252879911416,0.23991419402003217,0.562877812312476,0.32336994368761696
multiclass,RandomForest,15,0.9,0.13333333333333333,0.8483333333333334,0.188001182029381,0.8855555555555554,0.1458732749535672
multiclass,XGBoost,15,0.86,0.12719189352225943,0.7095238095238094,0.2539484119233026,0.8234920634920634,0.1705869995463023
multiclass,SVM_RBF,15,0.9333333333333333,0.08164965809277258,0.8761904761904763,0.1523809523809524,0.9079365079365079,0.11286596085480116
multiclass,LogisticReg,15,0.9,0.13333333333333333,0.8495238095238096,0.19297409740059335,0.8723809523809525,0.1644726334851269
binary,RandomForest,30,0.8584795321637427,0.10310656319238679,0.7842600671688545,0.15470758752521252,0.7842600671688545,0.15470758752521252
binary,XGBoost,30,0.8959899749373434,0.043475663279578976,0.8578326941512181,0.06670284154937008,0.8578326941512181,0.06670284154937008
binary,SVM_RBF,30,0.8229741019214704,0.07720509693118176,0.7509862647185817,0.1264142499911906,0.7509862647185817,0.1264142499911906
binary,LogisticReg,30,0.781704260651629,0.11054737298235759,0.7177053819185172,0.14461891701727353,0.7177053819185172,0.14461891701727353
threeway,RandomForest,30,0.6911764705882353,0.1505069608085494,0.49661503928170597,0.11921161455551396,0.647833745956295,0.19927545069158678
threeway,XGBoost,30,0.7598039215686274,0.16855903764970553,0.6411792528459196,0.19216089247655677,0.7160048548038744,0.21557667638112507
threeway,SVM_RBF,30,0.6919467787114846,0.2102208238138287,0.5844655344655345,0.21660720456387228,0.6507662816486346,0.24083447329143182
threeway,LogisticReg,30,0.6069327731092438,0.18964014699989465,0.5369978948926317,0.2102470567848461,0.5768509693780591,0.20677903527141048
multiclass,RandomForest,30,0.7799999999999999,0.16,0.7133333333333334,0.15434449203720302,0.7939999999999999,0.12458642694040863
multiclass,XGBoost,30,0.7549999999999999,0.20518284528683195,0.7274074074074074,0.17387064551482556,0.7534444444444445,0.15497686008076766
multiclass,SVM_RBF,30,0.8799999999999999,0.0979795897113271,0.7733333333333333,0.19708993998792643,0.8506666666666666,0.12490707657205728
multiclass,LogisticReg,30,0.6799999999999999,0.2501999200639361,0.6233333333333333,0.21018510360579262,0.6694166666666665,0.2204155797074648
