ts,gpu_idx,gpu_util,mem_util,mem_used_mb,mem_total_mb,power_w,temp_c,sm_clock_mhz,mem_clock_mhz,gr_engine_active,nvlink_rx_mb,nvlink_tx_mb,pcie_rx_mb,pcie_tx_mb,ecc_errors
1776047525.8148568,0,0,0,2966.290432,192265.846784,199.716,38,1965,3996,0,0.0,0.0,0.682,0.734,0
1776047525.8638723,0,0,0,2966.290432,192265.846784,199.716,38,1965,3996,0,0.0,0.0,0.715,2.06,0
1776047525.9138873,0,0,0,2966.290432,192265.846784,199.705,38,1965,3996,0,0.0,0.0,0.657,0.673,0
1776047525.9639046,0,0,0,2966.290432,192265.846784,199.705,38,1965,3996,0,0.0,0.0,0.666,2.057,0
1776047526.0139985,0,0,0,2966.290432,192265.846784,199.687,38,1965,3996,0,0.0,0.0,0.693,0.637,0
1776047526.064019,0,0,0,2966.290432,192265.846784,199.687,38,1965,3996,0,0.0,0.0,0.675,2.067,0
1776047526.114188,0,0,0,2966.290432,192265.846784,199.684,38,1965,3996,0,0.0,0.0,0.656,0.642,0
1776047526.1641493,0,0,0,2966.290432,192265.846784,199.684,38,1965,3996,0,0.0,0.0,0.669,2.053,0
1776047526.21449,0,0,0,2966.290432,192265.846784,199.65,38,1965,3996,0,0.0,0.0,0.634,0.731,0
1776047526.2643247,0,0,0,2966.290432,192265.846784,199.65,38,1965,3996,0,0.0,0.0,0.718,2.062,0
1776047526.3143878,0,0,0,2966.290432,192265.846784,199.607,38,1965,3996,0,0.0,0.0,0.73,0.641,0
1776047526.364419,0,0,0,2966.290432,192265.846784,199.607,38,1965,3996,0,0.0,0.0,0.723,2.074,0
1776047526.4145122,0,0,0,2966.290432,192265.846784,199.577,38,1965,3996,0,0.0,0.0,0.644,0.732,0
1776047526.4644973,0,0,0,2966.290432,192265.846784,199.577,38,1965,3996,0,0.0,0.0,0.702,2.064,0
1776047526.5145333,0,0,0,2966.290432,192265.846784,199.536,38,1965,3996,0,0.0,0.0,0.656,0.633,0
1776047526.5646157,0,0,0,2966.290432,192265.846784,199.536,38,1965,3996,0,0.0,0.0,0.638,2.044,0
1776047526.614861,0,0,0,2966.290432,192265.846784,199.569,38,1965,3996,0,0.0,0.0,0.631,0.686,0
1776047526.6648118,0,0,0,2966.290432,192265.846784,199.569,38,1965,3996,0,0.0,0.0,0.739,2.069,0
1776047526.7148044,0,0,0,2966.290432,192265.846784,199.577,38,1965,3996,0,0.0,0.0,0.648,0.638,0
1776047526.7648602,0,0,0,2966.290432,192265.846784,199.577,38,1965,3996,0,0.0,0.0,0.71,2.062,0
1776047526.815021,0,0,0,2966.290432,192265.846784,199.573,38,1965,3996,0,0.0,0.0,0.702,0.642,0
1776047526.8649693,0,0,0,2966.290432,192265.846784,199.573,38,1965,3996,0,0.0,0.0,0.666,2.075,0
1776047526.9151354,0,0,0,2966.290432,192265.846784,199.533,38,1965,3996,0,0.0,0.0,0.665,0.691,0
1776047526.9652205,0,0,0,2966.290432,192265.846784,199.533,38,1965,3996,0,0.0,0.0,0.662,2.108,0
1776047527.0153587,0,0,0,2966.290432,192265.846784,199.551,38,1965,3996,0,0.0,0.0,990.613,649.883,0
1776047527.065608,0,0,0,2968.387584,192265.846784,199.551,38,1965,3996,0,0.0,0.0,4806.922,853.091,0
