experiment,label,n_ch,batch_size,param_count,grad_mb,fwd_flops,fwd_bytes,fwd_ms,bwd_ms,opt_ms,step_ms,nvlink_allreduce_ms,achieved_tflops,achieved_mem_gbps,ai,comm_fraction,oom
batch_sweep,bs1_nch64,64,1,4507722,18.030888,834021376,20259624,2.3901984095573425,3.304682672023773,0.36752596497535706,6.062407046556473,0.14541038709677417,0.4393531826489574,10.672544541197949,41.1666759462071,0.044001316171069914,False
batch_sweep,bs2_nch64,64,2,4507722,18.030888,1668042752,22502224,2.3950859904289246,3.221992403268814,0.36467984318733215,5.981758236885071,0.14541038709677417,0.8908774108644348,12.01811106566383,74.12790629050711,0.04513058036674782,False
batch_sweep,bs4_nch64,64,4,4507722,18.030888,3336085504,26987424,1.9041672348976135,3.4894272685050964,0.2809688448905945,5.674563348293304,0.14541038709677417,1.8555819325472083,15.010819213220893,123.61630009592616,0.04167170595851661,False
batch_sweep,bs8_nch64,64,8,4507722,18.030888,6672171008,35957824,1.9066184759140015,3.4930072724819183,0.2813078463077545,5.680933594703674,0.14541038709677417,3.707018589195067,19.977953477988034,185.55547209975776,0.04162899637865752,False
batch_sweep,bs16_nch64,64,16,4507722,18.030888,13344342016,53898624,2.142462879419327,3.113050013780594,0.30809640884399414,5.563609302043915,0.14541038709677417,7.617339517861047,30.766906158524968,247.58223913100267,0.046709942485049526,False
batch_sweep,bs32_nch64,64,32,4507722,18.030888,26688684032,89780224,2.2140182554721832,3.227870911359787,0.32493099570274353,5.766820162534714,0.14541038709677417,14.712914879633786,49.493965007890516,297.26684611524246,0.045048389817893296,False
batch_sweep,bs64_nch64,64,64,4507722,18.030888,53377368064,161543424,2.1937787532806396,3.2078325748443604,0.3179125487804413,5.719523876905441,0.14541038709677417,29.64524740205342,89.71957487511864,330.42117557196264,0.04532979315600014,False
batch_sweep,bs128_nch64,64,128,4507722,18.030888,106754736128,305069824,3.2286345958709717,3.4644529223442078,0.4603751003742218,7.153462618589401,0.14541038709677417,47.84999561299681,136.7395046769171,349.9354171719062,0.0419721065219102,False
batch_sweep,bs256_nch64,64,256,4507722,18.030888,213509472256,592122624,3.1849071383476257,4.913389682769775,0.45821070671081543,8.556507527828217,0.14541038709677417,79.0942133780199,219.35079822807694,360.5832028738696,0.029594719019885158,False
batch_sweep,bs512_nch64,64,512,4507722,18.030888,427018944512,1166228224,3.7710368633270264,7.511373609304428,0.3038942813873291,11.586304754018784,0.14541038709677417,113.54460437718967,310.10081404917935,366.15384169608296,0.01935869451582765,False
batch_sweep,bs1024_nch64,64,1024,4507722,18.030888,854037889024,2314439424,6.6305361688137054,13.30326497554779,0.33964961767196655,20.273450762033463,0.14541038709677417,128.53111398659274,348.3188289938368,369.0042090399511,0.010930428534953435,False
width_sweep,nch8_bs64,8,64,71570,0.28628,858865664,18915680,3.1803548336029053,3.224767744541168,0.4710443317890167,6.87616690993309,0.002308709677419355,0.4022713009103076,8.859633724050106,45.404958426025395,0.0007159305290520532,False
width_sweep,nch16_bs64,16,64,283674,1.134696,3378675712,37604544,2.20576673746109,3.2528862357139587,0.3235563635826111,5.78220933675766,0.009150774193548386,1.8568733322690665,20.666936065434008,89.84753842514351,0.0028131245701373047,False
width_sweep,nch32_bs64,32,64,1129514,4.518056,13401128960,76668800,2.210434526205063,3.2155290246009827,0.3216154873371124,5.747579038143158,0.03643593548387097,7.4094465441124555,42.389964076672015,174.79247047038692,0.011331241361875851,False
width_sweep,nch64_bs64,64,64,4507722,18.030888,53377368064,161543424,1.9243694841861725,3.120221197605133,0.2766065299510956,5.321197211742401,0.14541038709677417,31.743329497476292,96.06929532445446,330.42117557196264,0.04660258933192979,False
width_sweep,nch128_bs64,128,64,18010250,72.041,213055176704,358277120,2.252873033285141,3.5563334822654724,0.4153437912464142,6.224550306797028,0.580975806451613,110.02630538284764,185.02206060720917,594.6658740139476,0.163363702911662,False
width_sweep,nch256_bs64,256,64,71999754,287.999016,851312115712,859682304,3.299195319414139,7.234916090965271,1.0492652654647827,11.583376675844193,2.3225727096774196,242.44440253589593,244.8281408395613,990.2636261685806,0.32102275692979676,False
width_sweep,nch512_bs64,512,64,287916554,1151.666216,3403431280640,2294243840,8.842181414365768,20.576760172843933,3.6837682127952576,33.10270980000496,9.287630774193548,347.0653018448179,233.9557832016759,1483.4653672383838,0.4513650689504973,False
