n_ch,param_count,grad_mb,batch_size,n_epochs,n_train,n_test,fwd_ms,bwd_ms,opt_ms,step_ms,fwd_flops,fwd_bytes,ai,achieved_tflops,achieved_mem_gbps,nvlink_allreduce_ms,comm_fraction,final_accuracy,wall_time_s
8,71570,0.28628,64,10,40000,10000,2.2455118596553802,3.0309073626995087,0.4046708345413208,5.68109005689621,858865664,18915680,45.404958426025395,0.4883230242744157,10.754839145376616,0.002308709677419355,0.0007617222835088827,17.22,41.19465756416321
16,283674,1.134696,64,10,40000,10000,2.175047993659973,3.1962431967258453,0.4079863429069519,5.77927753329277,3378675712,37604544,89.84753842514351,1.8870745928172126,21.003075052405908,0.009150774193548386,0.0028629780746728594,18.88,38.773587703704834
32,1129514,4.518056,64,10,40000,10000,2.217493951320648,3.208409994840622,0.4173070192337036,5.843210965394974,13401128960,76668800,174.79247047038692,7.409527938371112,42.390429738942466,0.03643593548387097,0.011356383860685774,20.78,41.06713056564331
64,4507722,18.030888,64,10,40000,10000,2.2178851068019867,3.230281174182892,0.4108548164367676,5.859021097421646,53377368064,161543424,330.42117557196264,29.391926738890305,88.95291498195466,0.14541038709677417,0.04501477712185724,22.34,40.912012815475464
128,18010250,72.041,64,10,40000,10000,2.2593550384044647,3.535725176334381,0.5358569324016571,6.330937147140503,213055176704,358277120,594.6658740139476,110.29450955422261,185.47307719163936,0.580975806451613,0.16431588358174726,24.83,44.86268711090088
256,71999754,287.999016,64,10,40000,10000,3.292236477136612,7.229045033454895,1.4088824391365051,11.930163949728012,851312115712,859682304,990.2636261685806,242.740044980739,245.126690071332,2.3225727096774196,0.321283475054992,23.16,74.02322101593018
512,287916554,1151.666216,64,10,40000,10000,8.748002350330353,20.327400416135788,5.005206912755966,34.08060967922211,3403431280640,2294243840,1483.4653672383838,351.16603281231073,236.72007487848586,9.287630774193548,0.4569020427629828,10.39,184.08543276786804
