size_mb,bandwidth_gbps,elapsed_sec,n_iters,note
1,57.8750282523919,0.0008436820935457945,50,
4,192.60030366559224,0.0010140819940716028,50,
16,368.7585095859603,0.002118595177307725,50,
64,574.6902424106056,0.005437711952254176,50,
256,683.3266791604236,0.018292861059308052,50,
512,707.6934885804424,0.03532602800987661,50,
1024,718.1260151779187,0.06962566310539842,50,
2048,723.9130649939257,0.13813813403248787,50,
4096,726.9227839645198,0.27513238601386547,50,
1024,1428.1686250438122,0.07001974293962121,50,bidirectional
