config,num_gpus,batch_size,seq_len,tokens_per_sec,scaled_tps,mfu_pct,loss,mean_power_W,mem_bw_util_pct,gpu_util_pct
1xGPU,1,1,128,4419.1624998229945,15412.784183671947,28.770530476187634,0.07534220814704895,229.74566666666666,0.0,1.0
1xGPU,1,2,128,8656.068797023881,30189.91047577221,56.35449955477479,0.0006741918623447418,315.1686666666667,44.666666666666664,81.0
1xGPU,1,4,128,16479.77487285827,57476.77609072715,107.289982036024,0.1089913547039032,443.82,38.0,73.5
1xGPU,1,8,128,29769.65160767821,103828.09309922978,193.81244045189558,0.9311542510986328,554.05,33.5,69.0
1xGPU,1,1,512,16406.74912139542,57222.08300189132,106.8145549368638,0.37730729579925537,616.2507499999999,38.5,78.25
1xGPU,1,2,512,29369.746798223932,102433.33865822922,191.20889882869457,1.5982160568237305,658.3965,30.5,63.5
1xGPU,1,4,512,46149.50882419854,160956.38477162278,300.4519182403625,5.07275390625,721.9206,42.2,96.4
1xGPU,1,8,512,62774.10102127815,218938.2425750884,408.6847194734983,7.8506622314453125,802.0649999999999,32.285714285714285,81.85714285714286
1xGPU,1,1,1024,28698.010176867137,100090.5120313161,186.83562245845673,6.9022216796875,846.0919999999999,29.0,70.0
1xGPU,1,2,1024,44634.2615250625,155671.63237625125,290.5870471023357,7.6284332275390625,831.8986000000001,42.4,98.0
1xGPU,1,4,1024,59592.412198507685,207841.41525386483,387.9706418072143,8.66717529296875,865.1850000000001,38.57142857142857,91.85714285714286
1xGPU,1,8,1024,72328.38764028547,252260.8818067534,470.88697937260633,9.444984436035156,932.3370000000002,31.818181818181817,99.0
1xGPU,1,1,2048,41940.54654824083,146276.7192922132,273.0498760121314,11.018768310546875,905.5106,37.0,98.2
1xGPU,1,2,2048,56488.959738807265,197017.4541554521,367.76591442351054,9.273452758789062,893.128125,37.0,98.25
1xGPU,1,4,2048,66761.25237174507,232844.29451928465,434.64268310266476,9.783439636230469,924.9945384615384,28.076923076923077,96.15384615384616
1xGPU,1,8,2048,75427.2232985156,263068.74081236386,491.0616495164125,10.130193710327148,973.0032272727271,29.454545454545453,99.13636363636364
2xGPU_DP,2,1,128,4204.7582032691535,14665.002867422836,27.374672019189294,2.0489096641540527e-08,177.82549999999998,0.0,0.0
2xGPU_DP,2,2,128,4795.518563269563,16725.407284169076,31.220760263782278,2.7509406208992004e-05,246.44716666666667,11.5,41.166666666666664
2xGPU_DP,2,4,128,9375.378648106285,32698.65902176172,61.037496840621884,0.06138145551085472,369.19,24.125,71.625
2xGPU_DP,2,8,128,17653.22292415354,61569.429747633585,114.92960219558269,1.1833418607711792,464.21475,19.625,65.75
2xGPU_DP,2,1,512,15543.810025735414,54212.3964276607,101.19647333163331,0.18205523490905762,466.90725,12.75,33.5
2xGPU_DP,2,2,512,17875.07649014686,62343.19200081393,116.37395840151933,1.6567007303237915,479.64087500000005,25.875,70.125
2xGPU_DP,2,4,512,32623.076904448404,113780.03043692908,212.38939014893432,8.133968353271484,495.563625,11.25,46.375
2xGPU_DP,2,8,512,55033.152808198596,191940.01289017525,358.28802406166045,9.37597370147705,562.3136000000001,23.9,71.6
2xGPU_DP,2,1,1024,28115.92319241637,98060.35788608532,183.04600138735927,8.328033447265625,590.4699999999999,11.166666666666666,28.0
2xGPU_DP,2,2,1024,32291.917745816194,112625.04130886486,210.2334104432144,8.886123657226562,559.8233749999999,22.5,74.0
2xGPU_DP,2,4,1024,54033.521131668655,188453.58140137274,351.78001861589576,9.314074516296387,559.7284999999999,23.2,73.6
2xGPU_DP,2,8,1024,81602.51921019044,284606.41976414906,531.2653168930783,9.964591979980469,650.0076666666668,27.5,78.75
2xGPU_DP,2,1,2048,41460.35029036437,144601.93107413946,269.923604671727,9.155685424804688,649.0298333333334,15.166666666666666,38.0
2xGPU_DP,2,2,2048,52068.37725882763,181599.71748413116,338.9861393037114,9.323973655700684,625.2515000000001,22.3,72.7
2xGPU_DP,2,4,2048,77789.9476231035,271309.2524708159,506.443937945523,10.341915130615234,686.6270714285713,24.642857142857142,76.07142857142857
2xGPU_DP,2,8,2048,102066.41674871114,355978.6846063286,664.49354459848,11.42368221282959,736.587,30.2,89.7
