config,dtype,num_gpus,batch_size,input_len,output_len,throughput_tps,tpot_ms,ttl_s,mean_power_W,mem_bw_util_pct,gpu_util_pct,mean_sm_clock
1xGPU,bf16,1,1,128,256,267.8680975052172,3.733180656126933,0.9556942479684949,387.47689473684204,50.526315789473685,78.15789473684211,1965.0
1xGPU,bf16,1,4,128,256,1071.072995644588,0.9336431821793667,0.9560506185516715,677.41595,64.0,99.0,1965.0
1xGPU,bf16,1,8,128,256,2195.240943216476,0.45553086238214746,0.932927206158638,662.4347368421053,59.21052631578947,91.42105263157895,1965.0
1xGPU,bf16,1,16,128,256,4367.218802704217,0.22897868075233418,0.9378966763615608,678.9412105263158,62.68421052631579,96.05263157894737,1965.0
1xGPU,bf16,1,32,128,256,8563.140967123316,0.1167795793435289,0.9566583139821887,695.5872000000002,64.0,97.8,1965.0
1xGPU,bf16,1,1,512,256,275.44934561748835,3.6304315690358635,0.9293904816731811,696.5198421052631,64.21052631578948,99.0,1965.0
1xGPU,bf16,1,4,512,256,1090.7332592565135,0.9168144379145815,0.9388179844245315,686.9365789473685,64.0,99.0,1965.0
1xGPU,bf16,1,8,512,256,2160.5139799874287,0.462852825421578,0.9479225864633918,694.4236315789473,60.21052631578947,93.10526315789474,1965.0
1xGPU,bf16,1,16,512,256,4253.602033927572,0.23509486595685303,0.96294857095927,708.6799000000001,59.65,92.8,1965.0
1xGPU,bf16,1,32,512,256,8222.908023392878,0.12161147822098428,0.9962412295863032,705.8749,55.4,86.2,1965.0
1xGPU,bf16,1,1,1024,256,272.3769880164975,3.671382106404053,0.9398738192394376,721.2403157894737,61.21052631578947,95.63157894736842,1965.0
1xGPU,bf16,1,4,1024,256,1076.740044508075,0.9287292741646525,0.9510187767446041,696.2933684210526,59.578947368421055,93.52631578947368,1965.0
1xGPU,bf16,1,8,1024,256,2123.8702039590676,0.47083856543395086,0.9642773820087314,706.0003999999999,63.6,98.6,1965.0
1xGPU,bf16,1,16,1024,256,4153.1482383983375,0.2407811959983519,0.9862397788092494,697.0761999999999,61.8,96.2,1965.0
1xGPU,bf16,1,32,1024,256,7847.704172631749,0.12742580224767153,1.0438721720129251,721.866238095238,59.04761904761905,93.0952380952381,1965.0
1xGPU,bf16,1,1,2048,256,264.20833676500166,3.784891923714895,0.9689323324710131,712.4356,64.0,99.0,1964.2
1xGPU,bf16,1,4,2048,256,1054.942569189442,0.9479189002377097,0.9706689538434148,686.1962499999998,63.2,99.0,1965.0
1xGPU,bf16,1,8,2048,256,2059.070932536481,0.48565592578597716,0.9946233360096812,693.8784499999999,61.8,97.8,1953.7
1xGPU,bf16,1,16,2048,256,3951.4511367134187,0.25307158443865774,1.036581209860742,713.4979523809526,59.42857142857143,94.61904761904762,1965.0
1xGPU,bf16,1,32,2048,256,7007.146146178169,0.14271145187194634,1.1690922137349844,722.9379166666668,54.75,90.66666666666667,1965.0
2xGPU_TP,bf16,2,1,128,256,161.33089265520994,6.198440878506517,1.5868008648976684,288.59797222222215,13.472222222222221,63.47222222222222,1965.0
2xGPU_TP,bf16,2,4,128,256,1121.307443763526,0.891816071998619,0.9132196577265859,536.9713636363637,31.318181818181817,86.36363636363636,1965.0
2xGPU_TP,bf16,2,8,128,256,2629.2091888356576,0.38034250155760674,0.7789414431899786,566.2996666666667,35.77777777777778,90.38888888888889,1965.0
2xGPU_TP,bf16,2,16,128,256,5840.8186715956745,0.17120887605415192,0.7012715563178062,595.4566875,41.6875,97.1875,1965.0
2xGPU_TP,bf16,2,32,128,256,11251.413606602977,0.08887772105481417,0.7280862908810377,615.6407222222222,41.77777777777778,94.44444444444444,1965.0
2xGPU_TP,bf16,2,1,512,256,339.89711540162136,2.9420667451631743,0.7531690867617726,605.6931666666666,38.388888888888886,93.5,1965.0
2xGPU_TP,bf16,2,4,512,256,1355.7947988848334,0.7375747427431634,0.7552765365689993,588.9782222222224,39.111111111111114,97.22222222222223,1965.0
2xGPU_TP,bf16,2,8,512,256,2587.9444367167835,0.3864070595227531,0.7913616579025984,594.1994000000001,38.8,98.6,1965.0
2xGPU_TP,bf16,2,16,512,256,5605.856153317458,0.17838488406596298,0.7306644851341844,576.7993888888889,36.22222222222222,85.44444444444444,1965.0
2xGPU_TP,bf16,2,32,512,256,10464.361358224145,0.09556244913255796,0.7828475832939148,589.6887222222223,35.94444444444444,83.0,1965.0
2xGPU_TP,bf16,2,1,1024,256,333.1670753101207,3.0014970689080656,0.7683832496404648,621.9885,37.666666666666664,92.66666666666667,1965.0
2xGPU_TP,bf16,2,4,1024,256,1320.4595518327453,0.7573121029054164,0.7754875933751464,599.3141111111112,39.333333333333336,97.66666666666667,1965.0
2xGPU_TP,bf16,2,8,1024,256,2503.6426198005997,0.3994180287918425,0.8180081229656935,591.6331,38.05,96.15,1965.0
2xGPU_TP,bf16,2,16,1024,256,5378.138055620245,0.1859379565303243,0.7616018699482083,583.1310555555556,36.666666666666664,90.0,1965.0
2xGPU_TP,bf16,2,32,1024,256,9788.579308122109,0.10215987106221291,0.8368936637416482,602.6237000000001,38.8,92.7,1965.0
2xGPU_TP,bf16,2,1,2048,256,321.30419232516755,3.1123154440138023,0.7967527536675334,616.40525,33.85,85.75,1965.0
2xGPU_TP,bf16,2,4,2048,256,1302.841850848441,0.767552868637722,0.7859741374850273,574.2017222222222,30.166666666666668,75.0,1965.0
2xGPU_TP,bf16,2,8,2048,256,2463.431649118834,0.4059377902194683,0.8313605943694711,597.962,37.1,95.4,1965.0
2xGPU_TP,bf16,2,16,2048,256,5220.775185754149,0.19154243659613712,0.7845578202977777,593.0419444444445,38.111111111111114,92.88888888888889,1965.0
2xGPU_TP,bf16,2,32,2048,256,9220.590986531342,0.10845291819805425,0.8884463058784604,614.0110909090909,38.09090909090909,92.72727272727273,1965.0
