component,explained_variance_ratio,cumulative_variance
1,0.29638382713975464,0.29638382713975464
2,0.21548278199577062,0.5118666091355253
3,0.12370735536586652,0.6355739645013918
4,0.09160356494206175,0.7271775294434536
5,0.050552302761007674,0.7777298322044612
6,0.047921461706798,0.8256512939112592
7,0.04061071220443753,0.8662620061156968
8,0.023543203117037614,0.8898052092327344
9,0.020145698749408733,0.9099509079821432
10,0.014741591931537778,0.924692499913681
