run_id,workload_label,category,gpu_utilization_pct_mean,gpu_utilization_pct_std,gpu_utilization_pct_cv,gpu_utilization_pct_p25,gpu_utilization_pct_p75,gpu_utilization_pct_iqr,gpu_utilization_pct_range,gpu_utilization_pct_fft_energy,mem_utilization_pct_mean,mem_utilization_pct_std,mem_utilization_pct_cv,mem_utilization_pct_p25,mem_utilization_pct_p75,mem_utilization_pct_iqr,mem_utilization_pct_range,mem_utilization_pct_fft_energy,power_draw_w_mean,power_draw_w_std,power_draw_w_cv,power_draw_w_p25,power_draw_w_p75,power_draw_w_iqr,power_draw_w_range,power_draw_w_fft_energy,temperature_c_mean,temperature_c_std,temperature_c_cv,temperature_c_p25,temperature_c_p75,temperature_c_iqr,temperature_c_range,temperature_c_fft_energy,sm_clock_mhz_mean,sm_clock_mhz_std,sm_clock_mhz_cv,sm_clock_mhz_p25,sm_clock_mhz_p75,sm_clock_mhz_iqr,sm_clock_mhz_range,sm_clock_mhz_fft_energy,mem_clock_mhz_mean,mem_clock_mhz_std,mem_clock_mhz_cv,mem_clock_mhz_p25,mem_clock_mhz_p75,mem_clock_mhz_iqr,mem_clock_mhz_range,mem_clock_mhz_fft_energy,mem_used_mb_mean,mem_used_mb_std,mem_used_mb_cv,mem_used_mb_p25,mem_used_mb_p75,mem_used_mb_iqr,mem_used_mb_range,mem_used_mb_fft_energy,pcie_tx_mbps_mean,pcie_tx_mbps_std,pcie_tx_mbps_cv,pcie_tx_mbps_p25,pcie_tx_mbps_p75,pcie_tx_mbps_iqr,pcie_tx_mbps_range,pcie_tx_mbps_fft_energy,pcie_rx_mbps_mean,pcie_rx_mbps_std,pcie_rx_mbps_cv,pcie_rx_mbps_p25,pcie_rx_mbps_p75,pcie_rx_mbps_iqr,pcie_rx_mbps_range,pcie_rx_mbps_fft_energy,mem_growth_rate
04615f74aca3,bert_sst2,ml_training,77.83076923076923,40.72375275513713,0.5232346173255392,99.0,100.0,1.0,100,2225.754543323329,12.461538461538462,6.731634559759899,0.5401928967275073,15.0,15.0,0.0,19,412.2414564316384,41.90696923076923,0.8882977747008391,0.021196898534657813,41.95,42.404,0.4540000000000006,4.040999999999997,66.40775414776293,52.261538461538464,3.906232692269349,0.07474392846412992,51.0,55.0,4.0,12,124.784822203479,1102.8461538461538,317.23656545476985,0.28765260172339185,1185.0,1215.0,30.0,1200,25980.61820257803,1215.0,0.0,0.0,1215.0,1215.0,0.0,0,0.0,4270.092307692307,1761.2362554740218,0.4124585907196552,5139.0,5139.0,0.0,4621,105569.50955318421,1.7563701923076922,1.1222001455664286,0.6389314450008059,1.4775390625,1.9541015625,0.4765625,4.8154296875,177.1789020239924,8.663191105769231,7.869392786978958,0.9083711406100673,7.056640625,8.677734375,1.62109375,32.90234375,1277.0914822703446,43.568050699300734
0a0cf0b8d0a5,rendering_proxy,rendering,80.31353135313532,8.510802959360824,0.10596972659355745,80.0,83.0,3.0,87,17592.054424870104,38.32343234323432,4.176796839195182,0.1089880677095347,38.0,39.0,1.0,41,8822.798425711306,43.742100660066015,0.35207827562184596,0.008048956732780416,43.769,43.798,0.029000000000003467,4.2649999999999935,970.7671584795751,58.65511551155115,2.0372234961858964,0.03473223909600803,58.0,60.0,2.0,14,1693.2858617716956,1395.1237623762377,97.55664358281008,0.06992687402627082,1395.0,1410.0,15.0,1200,272787.17494569276,1215.0,0.0,0.0,1215.0,1215.0,0.0,0,0.0,1156.6072607260726,63.91358484203503,0.055259539700500696,1163.0,1163.0,0.0,645,141472.85164871957,19.557783170895213,2.1751944413230153,0.11121886474581627,19.263671875,20.07421875,0.810546875,26.4169921875,5370.965959084735,126.77603522070957,13.877383467617083,0.10946377557357678,126.5166015625,130.7958984375,4.279296875,147.5810546875,37933.535265153594,0.02093201981572897
0a3f56331a37,pytorch_resnet_cifar10_amp,ml_training,76.53191489361703,38.94078618700661,0.5088176121115918,92.5,97.0,4.5,98,2093.167746612084,35.148936170212764,17.990309859578943,0.5118308495013041,43.0,45.0,2.0,45,978.9562828137961,42.98270212765958,1.5299348084277482,0.035594197960105295,43.357,43.769,0.41199999999999903,4.645999999999994,79.18084806196808,48.93617021276596,3.0460541497880924,0.06224545436396296,48.0,51.0,3.0,10,77.44551715964158,1020.0,329.31747600150226,0.3228602705893916,1110.0,1140.0,30.0,1200,17112.319313703003,1215.0,0.0,0.0,1215.0,1215.0,0.0,0,0.0,2516.851063829787,914.9171732225489,0.36351661263181545,2926.0,2927.0,1.0,2409,40057.98886393821,15.576878324468085,13.644200574311036,0.875926503964717,5.74560546875,32.185546875,26.43994140625,35.810546875,1463.9321936019212,148.23796958111703,159.49164637491538,1.0759162907082611,27.203125,342.0107421875,314.8076171875,349.759765625,16717.00750501874,21.735892691951914
0ec365ea9cda,gpt2_wikitext2,ml_training,81.1470588235294,38.928905648490904,0.47973279885189557,99.0,100.0,1.0,100,5372.543113077883,18.029411764705884,8.946707382313868,0.49622846815954275,19.0,23.0,4.0,25,1542.8931183230718,41.90550000000001,0.8692935573722432,0.020744139966150002,41.97025,42.404,0.4337500000000034,4.067,183.64676266796965,52.61029411764706,5.174256495693308,0.09835064757525008,50.0,57.0,7.0,17,399.4174749539245,1026.1764705882354,271.2100697997482,0.2642918421663071,1080.0,1125.0,45.0,1200,63268.69588661451,1215.0,0.0,0.0,1215.0,1215.0,0.0,0,0.0,8940.33088235294,3834.6924953834728,0.4289206457618064,10751.0,10751.0,0.0,10233,509205.95420114306,1.9615047679227942,1.2391006772720834,0.6317092351259305,1.19140625,2.193359375,1.001953125,8.2021484375,678.630143656965,8.228407915900736,6.8393392884093505,0.8311862218645836,3.372802734375,9.738525390625,6.36572265625,34.1416015625,3469.187596666535,54.614023662993176
13bf1043b834,pytorch_mlp_cifar10,ml_training,6.24,3.3118950237965947,0.5307524075746541,4.0,9.0,5.0,11,564.1065737500702,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,40.09681333333332,0.26632898236362956,0.006642148345878214,40.087,40.14,0.05299999999999727,1.4909999999999997,46.7902897733408,31.0,0.6575959492214292,0.02121277255484569,31.0,31.0,0.0,2,56.43602061018749,1014.0,254.48676490834157,0.2509731409350006,1095.0,1095.0,0.0,885,21861.220227407906,1215.0,0.0,0.0,1215.0,1215.0,0.0,0,0.0,1040.56,182.37177946696124,0.17526310781385598,1105.0,1105.0,0.0,587,13840.253580835864,16.2201953125,21.412465328688576,1.320111436072972,0.50048828125,28.6337890625,28.13330078125,56.6005859375,4759.0730904679685,168.6719921875,214.41133078049302,1.2711732872691566,0.28515625,323.2001953125,322.9150390625,645.828125,46228.59847345013,2.3585206258890326
172e990deec1,bert_sst2,ml_training,78.04615384615384,39.54207836644986,0.5066499297824381,98.0,99.0,1.0,100,2269.7711326048016,12.584615384615384,6.60939744722502,0.5251966186252917,15.0,15.0,0.0,19,395.747118770823,41.852784615384614,0.8412520893790497,0.020100265659497234,41.977,42.404,0.4270000000000067,4.067,56.83172734903913,51.92307692307692,4.258475711403716,0.08201508777360314,51.0,55.0,4.0,13,137.2473122615763,1103.5384615384614,317.4787432314897,0.2876915977976876,1185.0,1215.0,30.0,1200,25748.586561582706,1215.0,0.0,0.0,1215.0,1215.0,0.0,0,0.0,4270.092307692307,1761.2362554740218,0.4124585907196552,5139.0,5139.0,0.0,4621,105569.50955318421,1.7688401442307693,1.1615061336820736,0.6566484466184135,1.4775390625,1.9541015625,0.4765625,4.8642578125,193.35214715339765,8.675676081730769,8.055415476958833,0.9285057902280854,7.056640625,8.53515625,1.478515625,32.7119140625,1326.5867253558743,43.568050699300734
17de3f9f3997,mining_ethash_proxy,crypto_mining,38.636963696369634,4.112494972380322,0.10643939323473021,39.0,40.0,1.0,42,8979.479475577948,0.0016501650165016502,0.040622223185119384,24.617052332248633,0.0,0.0,0.0,1,243.0,40.38368811881188,0.2664827535531109,0.0065987720775403085,40.114,40.626,0.5120000000000005,1.516999999999996,1307.4185791435139,31.551155115511552,0.5205118133147744,0.01649739324575083,31.0,32.0,1.0,2,463.9191241093513,1135.3217821782177,79.59258087102812,0.07010574633585594,1125.0,1155.0,30.0,975,230906.34751323552,1215.0,0.0,0.0,1215.0,1215.0,0.0,0,0.0,2029.881188118812,151.31301608127052,0.07454279440927525,2045.0,2045.0,0.0,1527,335638.5533121539,15.657555306311881,12.899139473970202,0.8238284470849971,14.841064453125,15.7353515625,0.894287109375,327.396484375,76239.47632150297,104.35673376908004,88.39408134177471,0.8470376385727592,100.338134765625,105.0947265625,4.756591796875,2260.064453125,525909.247117179,0.04940317305655527
184fc886a3ca,mining_ethash_proxy,crypto_mining,39.1056105610561,4.049536433849974,0.10355384753356112,39.0,40.0,1.0,42,9967.644760612597,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,40.6019092409241,0.21275815629838898,0.005240102258016538,40.679,40.706,0.027000000000001023,1.841000000000001,1019.1832972790482,32.90594059405941,0.3139685036090236,0.009541392767729112,33.0,33.0,0.0,2,481.0521103225205,1161.3861386138615,80.20722792149206,0.06906163699969073,1170.0,1170.0,0.0,990,227440.749625767,1215.0,0.0,0.0,1215.0,1215.0,0.0,0,0.0,2029.881188118812,151.31301608127052,0.07454279440927525,2045.0,2045.0,0.0,1527,335638.5533121539,15.80739963644802,2.2715886037648185,0.14370412944981686,15.591796875,16.1640625,0.572265625,54.5029296875,10216.344140165584,104.68918239480197,11.08762962428292,0.10590998392139064,105.619140625,107.240234375,1.62109375,126.93359375,29275.721000509417,0.04940317305655527
1b48168bcf3c,nbody_sim,scientific_hpc,98.02805280528052,9.535364632855133,0.09727179475551324,99.0,99.0,0.0,99,20410.448256243428,88.40924092409242,8.84340425185315,0.10002805316862758,89.0,90.0,1.0,90,19616.355470530656,46.133638613861386,0.584020872853011,0.012659328212296608,46.098,46.158,0.060000000000002274,6.859999999999999,1478.2904153106329,58.585808580858085,1.297829054308478,0.02215261828289196,59.0,59.0,0.0,13,1414.0914275287582,1230.9158415841584,84.26950771452026,0.06846081987701044,1230.0,1245.0,15.0,1200,290390.24510171014,1215.0,0.0,0.0,1215.0,1215.0,0.0,0,0.0,1839.7821782178219,132.28741091584558,0.07190384409741328,1853.0,1853.0,0.0,1335,293436.45623557654,6.090261125721947,0.7213557459449805,0.11844414072492268,5.912109375,6.150390625,0.23828125,9.537109375,2031.1213870171462,24.867542027640265,22.90595974029225,0.9211187705608846,23.841796875,24.3662109375,0.5244140625,584.4111328125,136319.7532288417,0.04319137919483109
279297ff568c,nbody_sim,scientific_hpc,97.91749174917491,9.80654820759403,0.10015113778255572,99.0,99.0,0.0,99,22010.65158027391,88.1023102310231,8.82386478224441,0.1001547491661251,89.0,89.0,0.0,90,19066.716562758167,46.16254950495049,0.5859065985063728,0.012692249556772157,46.068,46.494,0.42600000000000193,6.498999999999995,1538.4074661505797,57.65346534653465,1.505487330984831,0.02611269456067844,58.0,58.0,0.0,13,1320.7129172625728,1225.9653465346535,83.81019753213558,0.06836261544338701,1230.0,1230.0,0.0,1200,285941.72937757336,1215.0,0.0,0.0,1215.0,1215.0,0.0,0,0.0,1839.7821782178219,132.28741091584558,0.07190384409741328,1853.0,1853.0,0.0,1335,293436.45623557654,6.264316470709571,4.838839239766578,0.77244488869925,5.53125,6.580078125,1.048828125,122.404296875,28518.566857953752,24.614786380981847,21.58164486546579,0.8767756311411123,23.6982421875,24.1279296875,0.4296875,551.3193359375,128175.71451181913,0.04319137919483109
