size_mb,allreduce_bw_GBps,allreduce_latency_us
64,955.1125210339701,134.01562348008156
256,1100.916397098698,465.0671035051346
1024,1154.731281829012,1773.5728062689304
4096,1168.8308228409685,7008.713185787201
