size_mb,src_dev,dst_dev,bidirectional,bw_GBps,latency_us
64,0,1,False,631.4752828290161,101.34996846318245
64,0,1,True,573.6232206317617,223.14298897981644
256,0,1,False,730.9917740035348,350.20913928747177
256,0,1,True,741.618276238076,690.3821229934692
1024,0,1,False,769.5309744496723,1330.6806795299053
1024,0,1,True,771.7792233699045,2653.6086201667786
4096,0,1,False,777.3338023652501,5269.293561577797
4096,0,1,True,780.4108041697302,10497.03560769558
