n_ch,param_count,grad_mb,batch_size,n_epochs,n_train,n_test,fwd_ms,bwd_ms,opt_ms,step_ms,fwd_flops,fwd_bytes,ai,achieved_tflops,achieved_mem_gbps,nvlink_allreduce_ms,comm_fraction,final_accuracy,wall_time_s
8,71570,0.28628,64,10,40000,10000,0.69150619674474,1.0297619737684727,0.10740547440946102,1.8286736449226737,858865664,18915680,45.404958426025395,1.496917816839524,32.96815741563403,0.0003180888888888889,0.00030889554770101334,17.16,14.881022214889526
16,283674,1.134696,64,10,40000,10000,0.7129310397431254,1.0412669507786632,0.12602005153894424,1.8802180420607328,3378675712,37604544,89.84753842514351,5.778154570217598,64.31066083164502,0.0012607733333333333,0.0012108070196509382,17.76,15.387523889541626
32,1129514,4.518056,64,10,40000,10000,0.712156412191689,1.1681519681587815,0.1297199632972479,2.0100283436477184,13401128960,76668800,174.79247047038692,21.381273040173596,122.32376476305932,0.005020062222222223,0.0042974393392794154,20.24,15.7559974193573
64,4507722,18.030888,64,10,40000,10000,0.7765259360894561,1.3733675004914403,0.1445655943825841,2.2944590309634805,53377368064,161543424,330.42117557196264,74.48374020187141,225.42060166979087,0.02003432,0.014587734159160605,23.72,16.914169311523438
128,18010250,72.041,64,10,40000,10000,1.0602669790387154,2.010408556088805,0.22718007676303387,3.2978556118905544,213055176704,358277120,594.6658740139476,208.15143860045,350.0309126458598,0.08004555555555555,0.03981556649922043,25.040000000000003,21.056180477142334
256,71999754,287.999016,64,10,40000,10000,2.012538490816951,4.27426747046411,0.6986211519688368,6.985427113249898,851312115712,859682304,990.2636261685806,406.23750166063417,410.2316705627206,0.31999890666666664,0.07486637391738153,23.169999999999998,36.50487732887268
512,287916554,1151.666216,64,10,40000,10000,5.4127039620652795,11.976760346442461,2.4522989988327026,19.841763307340443,3403431280640,2294243840,1483.4653672383838,587.1540181329591,395.79893882255163,1.279629128888889,0.10684267630594997,12.08,91.33217239379883
