config,gpus,throughput_img_s,elapsed_s,total_imgs,mean_step_ms,std_step_ms,n_params,mean_gpu_util,mean_power_w,mean_mem_used_mb,mean_gpu_util_gpu0,mean_gpu_util_gpu1,mean_power_w_gpu0,mean_power_w_gpu1,mean_mem_used_mb_gpu0,mean_mem_used_mb_gpu1
single_gpu,1,19577.954185265517,16.34491515159607,320000,3.268618583679199,4.011229553729717,10797706,66.19047619047619,421.23557142857146,2018.5714285714287,,,,,,
multi_gpu_dp,2,12319.280079998658,51.95108771324158,640000,10.38985719680786,8.453976201143195,10797706,,,,28.75,27.267857142857142,326.372875,320.49557142857145,3066.4285714285716,2899.1071428571427
